bearing,condition,snapshots,life_s,split,official_cut
Bearing1_1,1,2803,28020.0,train,
Bearing1_2,1,871,8700.0,train,
Bearing1_3,1,2375,23740.0,test,1802.0
Bearing1_4,1,1428,14270.0,test,1139.0
Bearing1_5,1,2463,24620.0,test,2302.0
Bearing1_6,1,2448,24470.0,test,2302.0
Bearing1_7,1,2259,22580.0,test,1502.0
Bearing2_1,2,911,9100.0,train,
Bearing2_2,2,797,7960.0,train,
Bearing2_3,2,1955,19540.0,test,1202.0
Bearing2_4,2,751,7500.0,test,612.0
Bearing2_5,2,2311,23100.0,test,2002.0
Bearing2_6,2,701,7000.0,test,572.0
Bearing2_7,2,230,2290.0,test,172.0
Bearing3_1,3,515,5140.0,train,
Bearing3_2,3,1637,16360.0,train,
Bearing3_3,3,434,4330.0,test,352.0
