policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing1_1,premature,27980.0,2336.25,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing1_5,premature,24580.0,2336.25,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing2_1,premature,8400.0,2336.25,0.9978046103183315,124.0,9100.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing2_5,premature,23060.0,2336.25,0.9991345737775854,124.0,23100.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing3_3,premature,3940.0,2336.25,0.9953917050691244,124.0,4330.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing1_1,premature,27980.0,2336.25,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing1_5,premature,24580.0,2336.25,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing2_1,premature,8400.0,2336.25,0.9978046103183315,124.0,9100.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing2_5,premature,23060.0,2336.25,0.9991345737775854,124.0,23100.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing3_3,premature,3940.0,2336.25,0.9953917050691244,124.0,4330.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing1_1,premature,27980.0,2268.75,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing1_5,premature,20010.0,2268.75,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing2_1,premature,8360.0,2268.75,0.9978046103183315,124.0,9100.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing2_5,premature,23060.0,2268.75,0.9991345737775854,124.0,23100.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing3_3,timely,1990.0,2268.75,0.9953917050691244,124.0,4330.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing1_1,premature,27980.0,1335.0,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing1_5,late,470.0,1335.0,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing2_1,premature,8130.0,1335.0,0.9978046103183315,124.0,9100.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing2_5,premature,17980.0,1335.0,0.9991345737775854,124.0,23100.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing3_3,late,30.0,1335.0,0.9953917050691244,124.0,4330.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing1_1,premature,27980.0,1335.0,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing1_5,late,470.0,1335.0,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing2_1,premature,8130.0,1335.0,0.9978046103183315,124.0,9100.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing2_5,premature,17980.0,1335.0,0.9991345737775854,124.0,23100.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing3_3,late,30.0,1335.0,0.9953917050691244,124.0,4330.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing1_1,late,120.0,885.0,0.9992864787727435,124.0,28020.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing1_5,late,360.0,885.0,0.999187982135607,124.0,24620.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing2_1,premature,7990.0,885.0,0.9143798024149287,122.15587266739847,9100.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing2_5,late,,885.0,0.8013846819558632,104.80830809173519,23100.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing3_3,late,,885.0,0.33410138248847926,65.6774193548387,4330.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing1_1,premature,14810.0,3000.0,0.529432750624331,73.81377095968605,28020.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing1_5,late,150.0,3000.0,0.007308160779537149,15.683313032886723,24620.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing2_1,late,20.0,3000.0,0.005488474204171241,20.360043907793635,9100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing2_5,late,320.0,3000.0,0.015144958892254435,16.749459108610992,23100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing3_3,late,60.0,3000.0,0.020737327188940093,30.580645161290324,4330.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing1_1,premature,14810.0,3000.0,0.529432750624331,73.81377095968605,28020.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing1_5,late,150.0,3000.0,0.007308160779537149,15.683313032886723,24620.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing2_1,late,20.0,3000.0,0.005488474204171241,20.360043907793635,9100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing2_5,late,320.0,3000.0,0.015144958892254435,16.749459108610992,23100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing3_3,late,60.0,3000.0,0.020737327188940093,30.580645161290324,4330.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing1_1,premature,14810.0,3000.0,0.529432750624331,73.81377095968605,28020.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing1_5,late,150.0,3000.0,0.007308160779537149,15.683313032886723,24620.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing2_1,late,20.0,3000.0,0.005488474204171241,20.360043907793635,9100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing2_5,late,320.0,3000.0,0.015144958892254435,16.749459108610992,23100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing3_3,late,60.0,3000.0,0.020737327188940093,30.580645161290324,4330.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing1_1,premature,14810.0,3000.0,0.529432750624331,73.81377095968605,28020.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing1_5,late,150.0,3000.0,0.007308160779537149,15.683313032886723,24620.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing2_1,late,20.0,3000.0,0.005488474204171241,20.360043907793635,9100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing2_5,late,320.0,3000.0,0.015144958892254435,16.749459108610992,23100.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing3_3,late,60.0,3000.0,0.020737327188940093,30.580645161290324,4330.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing1_1,premature,14810.0,3000.0,0.529432750624331,73.81377095968605,28020.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing1_5,late,150.0,3000.0,0.007308160779537149,15.683313032886723,24620.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing2_1,late,20.0,3000.0,0.005488474204171241,20.360043907793635,9100.0
