policy,eps,late_rate_mean,premature_rate_mean,timely_rate_mean,n_bearings_mean,median_lead_min_mean,esc_frac_mean,bytes_mean,late_rate_std,premature_rate_std,timely_rate_std,n_bearings_std,median_lead_min_std,esc_frac_std,bytes_std
"Always-cloud, CRC",0.1,0.0196078431372549,0.9411764705882352,0.0392156862745098,17.0,236.41666666666666,1.0,112.0,0.03396178054056622,0.0,0.03396178054056622,0.0,6.278822430289876,0.0,0.0
"Always-cloud, CRC",0.2,0.19607843137254902,0.7843137254901961,0.0196078431372549,17.0,180.4722222222222,1.0,112.0,0.08985442539129099,0.0679235610811324,0.03396178054056622,0.0,47.85121133185581,0.0,0.0
"Always-cloud, CRC + burn-in",0.1,0.0392156862745098,0.8431372549019608,0.11764705882352942,17.0,239.55555555555554,1.0,112.0,0.06792356108113244,0.033961780540566235,0.05882352941176472,0.0,17.994083389743338,0.0,0.0
"Always-cloud, CRC + burn-in",0.2,0.1176470588235294,0.8039215686274509,0.0784313725490196,17.0,174.83333333333334,1.0,112.0,0.11764705882352941,0.08985442539129096,0.03396178054056622,0.0,46.431251448901435,0.0,0.0
"Always-edge, CRC",0.1,0.0392156862745098,0.8431372549019608,0.11764705882352942,17.0,199.16666666666666,0.0,0.0,0.06792356108113244,0.12245094114506659,0.05882352941176472,0.0,55.65244329267532,0.0,0.0
"Always-edge, CRC",0.2,0.1372549019607843,0.7254901960784315,0.13725490196078433,17.0,136.58333333333334,0.0,0.0,0.033961780540566235,0.033961780540566165,0.06792356108113244,0.0,20.81282323739648,0.0,0.0
Anomaly threshold,,0.7058823529411765,0.29411764705882354,0.0,17.0,133.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cloud point, fixed thr. H_c",,0.823529411764706,0.1568627450980392,0.0196078431372549,17.0,81.58333333333333,1.0,112.0,0.05882352941176472,0.033961780540566235,0.03396178054056622,0.0,11.968999308398535,0.0,0.0
"Cloud point, fixed thr. H_p",,0.35294117647058826,0.5686274509803922,0.0784313725490196,17.0,126.52777777777779,1.0,112.0,0.10188534162169866,0.12245094114506665,0.13584712216226488,0.0,29.227595091194477,0.0,0.0
"HERA-v3 (onset-gated, CRC)",0.1,0.0196078431372549,0.9411764705882352,0.0392156862745098,17.0,236.25,0.9977479192276387,124.0,0.03396178054056622,0.0,0.03396178054056622,0.0,6.176231321229257,0.0,0.0
"HERA-v3 (onset-gated, CRC)",0.2,0.21568627450980393,0.7647058823529411,0.0196078431372549,17.0,182.91666666666666,0.9905822046007234,123.6531534252453,0.12245094114506665,0.10188534162169861,0.03396178054056622,0.0,45.26595789823124,0.012411381806356434,0.6007558899063546
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0.5686274509803922,0.37254901960784315,0.0588235294117647,17.0,102.63888888888887,0.18816452582612817,41.0197678574169,0.033961780540566235,0.03396178054056618,0.0,0.0,12.17360913037951,0.01865425943463777,2.0892770566794296
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0.5686274509803922,0.37254901960784315,0.0588235294117647,17.0,102.63888888888887,0.18816452582612817,41.0197678574169,0.033961780540566235,0.03396178054056618,0.0,0.0,12.17360913037951,0.01865425943463777,2.0892770566794296
