bearing,rul_at_alarm_s,outcome,policy,seed
Bearing1_1,28000.0,premature,Always-edge,0
Bearing1_2,8680.0,premature,Always-edge,0
Bearing1_3,23720.0,premature,Always-edge,0
Bearing1_4,14250.0,premature,Always-edge,0
Bearing1_5,24600.0,premature,Always-edge,0
Bearing1_6,24450.0,premature,Always-edge,0
Bearing1_7,22560.0,premature,Always-edge,0
Bearing2_1,9080.0,premature,Always-edge,0
Bearing2_2,7940.0,premature,Always-edge,0
Bearing2_3,19520.0,premature,Always-edge,0
Bearing2_4,7480.0,premature,Always-edge,0
Bearing2_5,23080.0,premature,Always-edge,0
Bearing2_6,6980.0,premature,Always-edge,0
Bearing2_7,2270.0,timely,Always-edge,0
Bearing3_1,5120.0,premature,Always-edge,0
Bearing3_2,16340.0,premature,Always-edge,0
Bearing3_3,4310.0,premature,Always-edge,0
Bearing1_1,28000.0,premature,Always-cloud,0
Bearing1_2,8680.0,premature,Always-cloud,0
Bearing1_3,23720.0,premature,Always-cloud,0
Bearing1_4,14250.0,premature,Always-cloud,0
Bearing1_5,24600.0,premature,Always-cloud,0
Bearing1_6,24450.0,premature,Always-cloud,0
Bearing1_7,22560.0,premature,Always-cloud,0
Bearing2_1,9080.0,premature,Always-cloud,0
Bearing2_2,7940.0,premature,Always-cloud,0
Bearing2_3,19420.0,premature,Always-cloud,0
Bearing2_4,7480.0,premature,Always-cloud,0
Bearing2_5,23080.0,premature,Always-cloud,0
Bearing2_6,6980.0,premature,Always-cloud,0
Bearing2_7,2270.0,timely,Always-cloud,0
Bearing3_1,5120.0,premature,Always-cloud,0
Bearing3_2,16340.0,premature,Always-cloud,0
Bearing3_3,4310.0,premature,Always-cloud,0
Bearing1_1,28000.0,premature,Cloud point+threshold,0
Bearing1_2,5830.0,premature,Cloud point+threshold,0
Bearing1_3,6280.0,premature,Cloud point+threshold,0
Bearing1_4,10030.0,premature,Cloud point+threshold,0
Bearing1_5,1680.0,timely,Cloud point+threshold,0
Bearing1_6,22420.0,premature,Cloud point+threshold,0
Bearing1_7,13120.0,premature,Cloud point+threshold,0
Bearing2_1,8280.0,premature,Cloud point+threshold,0
Bearing2_2,2950.0,timely,Cloud point+threshold,0
Bearing2_3,16820.0,premature,Cloud point+threshold,0
Bearing2_4,4720.0,premature,Cloud point+threshold,0
Bearing2_5,19030.0,premature,Cloud point+threshold,0
Bearing2_6,140.0,late,Cloud point+threshold,0
Bearing2_7,,late,Cloud point+threshold,0
Bearing3_1,160.0,late,Cloud point+threshold,0
Bearing3_2,14360.0,premature,Cloud point+threshold,0
Bearing3_3,30.0,late,Cloud point+threshold,0
Bearing1_1,28000.0,premature,HERA-full,0
Bearing1_2,8680.0,premature,HERA-full,0
Bearing1_3,23720.0,premature,HERA-full,0
Bearing1_4,14250.0,premature,HERA-full,0
Bearing1_5,24600.0,premature,HERA-full,0
Bearing1_6,24450.0,premature,HERA-full,0
Bearing1_7,22560.0,premature,HERA-full,0
Bearing2_1,9080.0,premature,HERA-full,0
Bearing2_2,7940.0,premature,HERA-full,0
Bearing2_3,19420.0,premature,HERA-full,0
Bearing2_4,7480.0,premature,HERA-full,0
Bearing2_5,23080.0,premature,HERA-full,0
Bearing2_6,6980.0,premature,HERA-full,0
Bearing2_7,2270.0,timely,HERA-full,0
Bearing3_1,5120.0,premature,HERA-full,0
Bearing3_2,16340.0,premature,HERA-full,0
Bearing3_3,4310.0,premature,HERA-full,0
Bearing1_1,28000.0,premature,Width gate (matched),0
Bearing1_2,8680.0,premature,Width gate (matched),0
Bearing1_3,23720.0,premature,Width gate (matched),0
Bearing1_4,14250.0,premature,Width gate (matched),0
Bearing1_5,24600.0,premature,Width gate (matched),0
Bearing1_6,24450.0,premature,Width gate (matched),0
Bearing1_7,22560.0,premature,Width gate (matched),0
Bearing2_1,9080.0,premature,Width gate (matched),0
Bearing2_2,7940.0,premature,Width gate (matched),0
Bearing2_3,19420.0,premature,Width gate (matched),0
Bearing2_4,7480.0,premature,Width gate (matched),0
Bearing2_5,23080.0,premature,Width gate (matched),0
Bearing2_6,6980.0,premature,Width gate (matched),0
Bearing2_7,2270.0,timely,Width gate (matched),0
Bearing3_1,5120.0,premature,Width gate (matched),0
Bearing3_2,16340.0,premature,Width gate (matched),0
Bearing3_3,4310.0,premature,Width gate (matched),0
