hc_frac,hp_frac,policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate
0.1,0.4,Always-edge,0.11005692599620494,0.26628716002530045,0.21268395234758233,0.7164797944405512,0.3054763148378802,0.7251664055071183,0.0
0.1,0.4,Always-cloud,0.029728020240354203,0.23719165085388993,0.5330238262088297,0.8419907731838355,0.1722983379538484,0.8498801344636854,1.0
0.1,0.4,Cloud point+threshold,0.5414294750158127,0.7602783048703352,0.028206026629292225,0.14780425134314412,0.7987062557756439,0.16348587729519062,1.0
0.1,0.4,HERA-full,0.13092979127134724,0.2428842504743833,0.48913805185704273,0.6820398271431909,0.3136325284262124,0.6927692287088004,0.7258494381721511
0.1,0.4,Width gate (matched),0.13409234661606578,0.2428842504743833,0.49306528848399905,0.6910330530249942,0.3053423868643444,0.7011531198521435,0.7355458234561453
0.1,0.6,Always-edge,0.01265022137887413,0.26628716002530045,0.20980805672718383,0.9686563970902867,0.11409324065517563,0.9713394136633319,0.0
0.1,0.6,Always-cloud,0.0,0.23719165085388993,0.5239470627788984,0.9685341402286203,0.07049968526926219,0.9722769094780827,1.0
0.1,0.6,Cloud point+threshold,0.4187223276407337,0.7602783048703352,0.02787456445993031,0.2173421358273733,0.723599448216749,0.24317302154901096,1.0
0.1,0.6,HERA-full,0.01265022137887413,0.23719165085388993,0.5239470627788984,0.9499663793630417,0.08584783103646859,0.9548127017290101,0.9713394136633319
0.1,0.6,Width gate (matched),0.01265022137887413,0.23719165085388993,0.5239470627788984,0.9507152026407483,0.08520497676349659,0.9554823415966892,0.9724510158436793
0.2,0.6,Always-edge,0.006428801028608165,0.3233686917389907,0.36293477596430096,0.9686563970902867,0.1025486493363869,0.9713394136633319,0.0
0.2,0.6,Always-cloud,0.0,0.1761491481838637,0.6211107035882389,0.9685341402286203,0.07603091057629206,0.9722769094780827,1.0
0.2,0.6,Cloud point+threshold,0.49469623915139826,0.707168113146898,0.06423069869796443,0.2173421358273733,0.7159789465225601,0.24317302154901096,1.0
0.2,0.6,HERA-full,0.006428801028608165,0.18257794921247186,0.6210801393728222,0.9499663793630417,0.09120494997790189,0.9548127017290101,0.9713394136633319
0.2,0.6,Width gate (matched),0.006428801028608165,0.18257794921247186,0.6210801393728222,0.9507152026407483,0.09056209570492989,0.9554823415966892,0.9724510158436793
0.2,0.8,Always-edge,0.0,0.3233686917389907,0.356134531878415,1.0,0.09614689220137411,1.0,0.0
0.2,0.8,Always-cloud,0.0,0.1761491481838637,0.611674598215001,1.0,0.05607564251945304,1.0,1.0
0.2,0.8,Cloud point+threshold,0.322082931533269,0.707168113146898,0.057700011216330976,0.39183451104808603,0.5693278155008237,0.4263864893460297,1.0
0.2,0.8,HERA-full,0.0,0.1761491481838637,0.611674598215001,1.0,0.05607564251945304,1.0,1.0
0.2,0.8,Width gate (matched),0.0,0.1761491481838637,0.611674598215001,1.0,0.05607564251945304,1.0,1.0
0.3,0.8,Always-edge,0.0,0.26976944624003446,0.5436555624989986,1.0,0.0812005303547752,1.0,0.0
0.3,0.8,Always-cloud,0.0,0.11118293471234647,0.7162108029290647,1.0,0.06974968861746152,1.0,1.0
0.3,0.8,Cloud point+threshold,0.37319543201896144,0.6789485024779142,0.10594625775128587,0.39183451104808603,0.5638367685858546,0.4263864893460297,1.0
0.3,0.8,HERA-full,0.0,0.11118293471234647,0.7162108029290647,1.0,0.06974968861746152,1.0,1.0
0.3,0.8,Width gate (matched),0.0,0.11118293471234647,0.7162108029290647,1.0,0.06974968861746152,1.0,1.0
