fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
0,TCN,25,128,0.0,0.04987970864400267,626.1105346679688,0.2462837837837838
0,TCN,25,128,0.2,0.10003053418704652,915.1089477539062,0.06351351351351352
2,TCN,25,128,0.0,0.048693331338158605,571.0475463867188,0.3716486902927581
2,TCN,25,128,0.2,0.056165997562205305,646.3660888671875,0.27981510015408323
0,TCN,25,64,0.0,0.06637214286987007,774.5367431640625,0.40033783783783783
0,TCN,25,64,0.2,0.06929856086215885,801.6747436523438,0.41486486486486485
2,TCN,25,64,0.0,0.031520399602343395,438.1722717285156,0.5845916795069337
2,TCN,25,64,0.2,0.03790656538168376,550.4717407226562,0.585824345146379
0,LSTM,25,128,0.0,0.07974160384568217,874.3380126953125,0.19425675675675674
0,LSTM,25,128,0.2,0.08291865326754165,945.5570678710938,0.4212837837837838
0,GRU,25,128,0.0,0.06129741526701485,727.20751953125,0.15304054054054053
0,GRU,25,128,0.2,0.06995548696621104,805.753173828125,0.22635135135135134
0,CNN-LSTM,25,128,0.0,0.10754283161522392,997.5704956054688,0.05337837837837838
0,CNN-LSTM,25,128,0.2,0.12959934816056776,1048.6324462890625,0.05675675675675676
2,LSTM,25,128,0.0,0.09420819078826209,882.4805908203125,0.2733436055469954
2,LSTM,25,128,0.2,0.06081486100898017,774.2051391601562,0.5966101694915255
2,GRU,25,128,0.0,0.06248196298617182,490.3050231933594,0.10847457627118644
2,GRU,25,128,0.2,0.07605908423343613,638.42578125,0.14915254237288136
2,CNN-LSTM,25,128,0.0,0.055504774517242415,739.4039916992188,0.21818181818181817
2,CNN-LSTM,25,128,0.2,0.05470629558993938,745.067138671875,0.3248073959938367
0,TCN,8,128,0.0,0.04339214391004806,628.8300170898438,0.7307432432432432
0,TCN,8,128,0.2,0.04617239687520474,650.0446166992188,0.6084459459459459
2,TCN,8,128,0.0,0.09703421151303769,979.78662109375,0.3189522342064715
2,TCN,8,128,0.2,0.10224323365072954,1046.604248046875,0.31556240369799693
0,TCN,25,32,0.0,0.05482409845791686,723.865966796875,0.5996621621621622
0,TCN,25,32,0.2,0.05226138186897991,727.6146240234375,0.5199324324324325
2,TCN,25,32,0.0,0.15165215525978962,1360.92041015625,0.14391371340523884
2,TCN,25,32,0.2,0.10825579548669804,1106.9644775390625,0.16024653312788906
0,LSTM,25,64,0.0,0.06778455328999658,819.0842895507812,0.5543918918918919
0,LSTM,25,64,0.2,0.07909727838102242,794.449462890625,0.34425675675675677
0,GRU,25,64,0.0,0.06788343299294586,681.59033203125,0.09864864864864865
0,GRU,25,64,0.2,0.0704580152057151,705.4454956054688,0.2996621621621622
0,CNN-LSTM,25,64,0.0,0.14712196496855423,1172.89501953125,0.10878378378378378
0,CNN-LSTM,25,64,0.2,0.11951404910459107,1050.534423828125,0.2962837837837838
2,LSTM,25,64,0.0,0.04221031706741928,636.9452514648438,0.6714946070878274
2,LSTM,25,64,0.2,0.02965184150178284,502.6315612792969,0.787673343605547
2,GRU,25,64,0.0,0.04361082186600989,474.88720703125,0.15993836671802775
2,GRU,25,64,0.2,0.03746356031665857,537.5999755859375,0.32449922958397537
2,CNN-LSTM,25,64,0.0,0.047813722093115574,552.8282470703125,0.18181818181818182
2,CNN-LSTM,25,64,0.2,0.04250022464671469,621.9095458984375,0.23297380585516178
0,TCN,8,64,0.0,0.06260786561154853,766.2152709960938,0.4652027027027027
0,TCN,8,64,0.2,0.054024450292764654,749.8810424804688,0.5645270270270271
2,TCN,8,64,0.0,0.05761847038231943,780.9000244140625,0.6086286594761171
2,TCN,8,64,0.2,0.06433336631328912,846.0233764648438,0.461633281972265
0,LSTM,8,128,0.0,0.07011424149400743,873.2559204101562,0.45506756756756755
0,LSTM,8,128,0.2,0.04955696495158622,777.56982421875,0.6280405405405406
0,GRU,8,128,0.0,0.07157769041557518,897.3203125,0.44222972972972974
0,GRU,8,128,0.2,0.0905533588985621,1115.803466796875,0.1966216216216216
0,CNN-LSTM,8,128,0.0,0.08791513059019775,960.7846069335938,0.10304054054054054
0,CNN-LSTM,8,128,0.2,0.09283128100414845,884.0093383789062,0.15743243243243243
2,LSTM,8,128,0.0,0.12132201579272407,1318.910888671875,0.23143297380585517
2,LSTM,8,128,0.2,0.0570249745773671,820.7089233398438,0.31587057010785824
2,GRU,8,128,0.0,0.0626141304042502,570.1754150390625,0.23759630200308166
2,GRU,8,128,0.2,0.06853240357748265,674.775146484375,0.21417565485362094
2,CNN-LSTM,8,128,0.0,0.06798322960412446,981.9298095703125,0.41633281972265024
2,CNN-LSTM,8,128,0.2,0.053706640927943784,809.650634765625,0.6363636363636364
0,LSTM,25,32,0.0,0.11706583882643483,1132.150146484375,0.21013513513513513
0,LSTM,25,32,0.2,0.1387143332610507,1340.2911376953125,0.19797297297297298
0,GRU,25,32,0.0,0.12333598853551428,1072.8011474609375,0.1358108108108108
0,GRU,25,32,0.2,0.12028040605631808,1059.0457763671875,0.12567567567567567
0,CNN-LSTM,25,32,0.0,0.11699142265479659,1067.6004638671875,0.22837837837837838
0,CNN-LSTM,25,32,0.2,0.07729461903440521,857.5146484375,0.3293918918918919
2,LSTM,25,32,0.0,0.06239714145878283,892.8845825195312,0.6046224961479199
