policy,unsafe_rate_mean,missed_urgent_mean,false_urgent_mean,false_maint_mean,action_acc_mean,approval_load_mean,escalation_rate_mean,rmse_mean,mae_mean,bytes_per_snapshot_mean,latency_mean_ms_mean,kmacs_per_snapshot_mean,picp_mean,mpiw_mean,unsafe_rate_std,missed_urgent_std,false_urgent_std,false_maint_std,action_acc_std,approval_load_std,escalation_rate_std,rmse_std,mae_std,bytes_per_snapshot_std,latency_mean_ms_std,kmacs_per_snapshot_std,picp_std,mpiw_std
Always-edge,0.006428801028608165,0.3233686917389907,0.36293477596430096,0.9686563970902867,0.1025486493363869,0.9713394136633319,0.0,751.6193440755209,495.39646402994794,0.0,0.1542289992357837,34.096,0.9399199110718256,2193.2344563802085,0.011135010013300401,0.028432458228860133,0.04145727970838898,0.013989991291169582,0.010803829420713234,0.013360891186647163,0.0,4.714314593561489,22.71606570259941,0.0,0.0,0.0,0.010571219245244167,102.50059655479181
Always-cloud,0.0,0.1761491481838637,0.6211107035882389,0.9685341402286203,0.07603091057629206,0.9722769094780827,1.0,891.4657592773438,660.9544677734375,112.0,51.10697900163359,3609.152,0.9630894504935247,2506.4890950520835,0.0,0.04726480574141122,0.007686657118038723,0.027253714306794952,0.022750350028646338,0.024012968199509106,0.0,26.2226478913196,13.812005908439035,0.0,0.0,0.0,0.0220294988564637,41.55156456370152
Cloud point+threshold,0.49469623915139826,0.707168113146898,0.06423069869796443,0.2173421358273733,0.7159789465225601,0.24317302154901096,1.0,1090.26416015625,779.9814249674479,112.0,51.10697900163359,3609.152,,,0.02749580989273531,0.06651246367793023,0.040961784749217016,0.06795378347401027,0.059828216135834375,0.06479742489810346,0.0,160.5504150591101,128.8153083036285,0.0,0.0,0.0,,
HERA-full,0.006428801028608165,0.18257794921247186,0.6210801393728222,0.9499663793630417,0.09120494997790189,0.9548127017290101,0.9713394136633319,891.7649536132812,660.9915364583334,123.00400444640871,49.796452016786766,3539.8075875018417,0.9624198106258454,2498.3675130208335,0.011135010013300401,0.04881339979318075,0.007737441454071612,0.005407016171525354,0.006197899537393602,0.0039334488506250626,0.013360891186647163,26.716473118769503,13.964733686924848,1.5015195203350808,0.68283478531909,48.22148714807005,0.021414341703164107,28.60784076547116
HERA w/o anomaly term,0.006428801028608165,0.18257794921247186,0.6210801393728222,0.9499663793630417,0.09120494997790189,0.9548127017290101,0.9713394136633319,891.7649536132812,660.9915364583334,123.00400444640871,49.796452016786766,3539.8075875018417,0.9624198106258454,2498.3675130208335,0.011135010013300401,0.04881339979318075,0.007737441454071612,0.005407016171525354,0.006197899537393602,0.0039334488506250626,0.013360891186647163,26.716473118769503,13.964733686924848,1.5015195203350808,0.68283478531909,48.22148714807005,0.021414341703164107,28.60784076547116
HERA-no-DT,0.006428801028608165,0.1414336226293796,0.6519499969435785,0.9686563970902867,0.07982107222735613,0.9713394136633319,0.9713394136633319,953.45068359375,652.4782511393229,123.00400444640871,49.796452016786766,3539.8075875018417,0.9475270199686608,2536.4070638020835,0.011135010013300401,0.0038972535046551387,0.07420911567475467,0.013989991291169582,0.007896493719584443,0.013360891186647163,0.013360891186647163,15.923166444338538,13.21564634804283,1.5015195203350808,0.68283478531909,48.22148714807005,0.019957744222452712,60.460200184533726
HERA-no-UQ,0.5615557698489232,0.7373834779813565,0.04563237361696926,0.15078855675774802,0.7686126401221424,0.17373136727068184,0.4810960665354172,988.8945922851562,636.9957885742188,88.62115794125918,24.741595569429865,1770.444830728434,,,0.05257387637370411,0.045663724379180586,0.016942330735651892,0.028296059449089916,0.025290598381068462,0.02656174628413051,0.1375793802200707,81.44860691106305,42.489763047776464,15.565396036304781,7.0312664959649185,496.54489528002875,,
HERA-fixed (anomaly trigger),0.006428801028608165,0.3236901317904211,0.3628278012103429,0.9686563970902867,0.10076740728836031,0.9713260208659783,0.03933464582747399,759.5101114908854,498.1993408203125,27.15143235967697,2.164503917577191,176.06071565751938,0.9465091673697885,2196.3990885416665,0.011135010013300401,0.03242085853102341,0.04102800238477281,0.013989991291169582,0.011284979585469571,0.01336451538563,0.0,3.1080999349909644,22.361534143942045,0.0,0.0,0.0,0.013087572869823177,103.04377666507445
Width gate (matched),0.006428801028608165,0.18257794921247186,0.6210801393728222,0.9507152026407483,0.09056209570492989,0.9554823415966892,0.9724510158436793,891.7665812174479,660.9957682291666,123.00400444640871,49.853262646075954,3543.8195287342464,0.962433203423199,2498.469482421875,0.011135010013300401,0.04881339979318075,0.007737441454071612,0.005095339809077474,0.005589130612389836,0.0037716362096352385,0.0145149318718206,26.714385350726086,13.963853755263026,1.5015195203350808,0.7418143183832873,52.38659539504484,0.021433694136050015,28.77004274223071
Linear score gate (matched),0.006107360977177757,0.18289938926390228,0.6209578825111559,0.9574087658169814,0.08472283605876758,0.9614823148110946,0.9432011464234534,891.6998901367188,660.7332153320312,121.13351279681787,48.35839018381595,3438.2523040164997,0.9623796322337848,2494.253173828125,0.010578259512635382,0.04895606908002809,0.007940860214774643,0.0091843814504991,0.011614289153427293,0.007421301771663523,0.047339837011377416,26.610716914445952,13.620722705741986,3.034458277204174,2.419396056081227,170.85666742928694,0.021276131049267077,32.15314156195123
Random gate (matched),0.0,0.18129218900675026,0.611849746317012,0.968152087535913,0.07715590555399306,0.9719286967468895,0.9643885518368221,886.5723876953125,654.6720784505209,123.99700001339279,49.441214467376085,3514.7208706389706,0.9624599890179062,2494.1722819010415,0.0,0.04448433016266459,0.01566645627625048,0.025882364312560992,0.021197189547269964,0.022822753167473044,0.026636314435333236,23.58822003643326,12.924220114702118,0.0025980646128526985,1.3613015625274865,96.13450751691168,0.02177892463333634,43.778126436599685
