policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse,mae,bytes_per_snapshot,latency_mean_ms,kmacs_per_snapshot,picp,mpiw,seed
Always-edge,0.019286403085824494,0.3452266152362584,0.32207041995231983,0.9661654135338346,0.10514685202298205,0.9689421029370404,0.0,747.1142578125,469.7046813964844,0.0,0.1542289992357837,34.096,0.9295271003254449,2074.91064453125,0
Always-cloud,0.0,0.17743490838958534,0.6125985695947185,0.9532367504126169,0.08557997508939692,0.9588573265297923,1.0,919.3841552734375,671.73779296875,112.0,51.10697900163359,3609.152,0.9406565149262727,2481.841796875,0
Cloud point+threshold,0.46769527483124396,0.648023143683703,0.11090225563909774,0.28594351732991014,0.6564747478805898,0.30861022941861865,1.0,1264.3587646484375,925.9005126953125,112.0,51.10697900163359,3609.152,,,0
HERA-full,0.019286403085824494,0.19672131147540983,0.6125068769484687,0.94801026957638,0.0890353168066214,0.9528707461127406,0.9689421029370404,920.2971801757812,671.9698486328125,123.7840009642814,49.67393270783779,3531.1553286994254,0.9402949093977259,2481.677001953125,0
HERA w/o anomaly term,0.019286403085824494,0.19672131147540983,0.6125068769484687,0.94801026957638,0.0890353168066214,0.9528707461127406,0.9689421029370404,920.2971801757812,671.9698486328125,123.7840009642814,49.67393270783779,3531.1553286994254,0.9402949093977259,2481.677001953125,0
HERA-no-DT,0.019286403085824494,0.14368370298939248,0.737621492756281,0.9661654135338346,0.07999517859295271,0.9689421029370404,0.9689421029370404,954.9691162109375,649.0895385742188,123.7840009642814,49.67393270783779,3531.1553286994254,0.9261119370002813,2605.65673828125,0
HERA-no-UQ,0.5699132111861138,0.695274831243973,0.06491839354483771,0.18306436823766734,0.7409699063843465,0.20438748041303387,0.3704447748001125,1081.637939453125,682.8546142578125,75.33721724456588,19.086542326210015,1371.0874998593756,,,0
HERA-fixed (anomaly trigger),0.019286403085824494,0.3452266152362584,0.3225288831835687,0.9661654135338346,0.10305757563582306,0.9689019245449797,0.03933464582747399,757.935546875,473.2080078125,27.151432359676967,2.164503917577191,176.06071565751938,0.9331431556109124,2077.416748046875,0
Width gate (matched),0.019286403085824494,0.19672131147540983,0.6125068769484687,0.9481478085457546,0.08891478163043914,0.9529912812889229,0.9692233516814657,920.2973022460938,671.973876953125,123.7840009642814,49.68830648151338,3532.170398167865,0.9402949093977259,2481.658203125,0
Linear score gate (matched),0.01832208293153327,0.19768563162970107,0.6121401063634696,0.9654777186869613,0.07372734943147576,0.9685001406243722,0.890835308770943,920.0994262695312,671.1506958007812,117.91152718068223,45.68213041850614,3249.2560363212665,0.9403752661818474,2469.95458984375,0
Random gate (matched),0.0,0.18514946962391515,0.5949018888685127,0.9538785989363653,0.08634336453855117,0.9593796456265821,0.9412190124151232,910.0247802734375,659.33837890625,123.9955000200892,48.25708930267379,3431.0984810960667,0.9401341958294829,2457.900146484375,0
Always-edge,0.0,0.29122468659594986,0.4049605721621126,0.9560792224463598,0.1118164651050665,0.9593394672345212,0.0,751.2255859375,512.821533203125,0.0,0.1542289992357837,34.096,0.9506609345493994,2249.951171875,1
Always-cloud,0.0,0.12825458052073288,0.623189070236567,1.0,0.05006227650769416,1.0,1.0,867.355224609375,645.3862915039062,112.0,51.10697900163359,3609.152,0.9846920326248544,2554.462646484375,1
Cloud point+threshold,0.49373191899710706,0.7791706846673095,0.03424720337428938,0.15005501558774986,0.7761259994375025,0.1790349150227008,1.0,948.0377197265625,682.0399169921875,112.0,51.10697900163359,3609.152,,,1
HERA-full,0.0,0.12825458052073288,0.623189070236567,0.9560792224463598,0.08638354293061191,0.9593394672345212,0.9593394672345212,867.3399047851562,645.27392578125,121.2730121740528,49.18317100662882,3496.497956848407,0.9830447185503636,2531.400390625,1
HERA w/o anomaly term,0.0,0.12825458052073288,0.623189070236567,0.9560792224463598,0.08638354293061191,0.9593394672345212,0.9593394672345212,867.3399047851562,645.27392578125,121.2730121740528,49.18317100662882,3496.497956848407,0.9830447185503636,2531.400390625,1
HERA-no-DT,0.0,0.14368370298939248,0.6106271777003485,0.9560792224463598,0.08762907308449516,0.9593394672345212,0.9593394672345212,968.5602416992188,667.0582885742188,121.2730121740528,49.18317100662882,3496.497956848407,0.9508618265097031,2509.4501953125,1
HERA-no-UQ,0.5053037608486017,0.7859209257473481,0.033146891619292136,0.13024940399779938,0.7905902205793724,0.15757965366226043,0.6351400216963317,928.9996337890625,629.1695556640625,105.7480814817791,32.61431675116731,2326.412879585359,,,1
HERA-fixed (anomaly trigger),0.0,0.28640308582449375,0.4045479552539886,0.9560792224463598,0.11073164851942625,0.9593394672345212,0.03933464582747399,757.50439453125,516.3175659179688,27.151432359676967,2.164503917577191,176.06071565751938,0.9592992888424605,2255.24072265625,1
Width gate (matched),0.0,0.12825458052073288,0.623189070236567,0.9565835320007335,0.08598175901000442,0.9598216079392503,0.9598216079392503,867.3446044921875,645.279296875,121.2730121740528,49.207811761501226,3498.2380759371613,0.9830848969424244,2531.689453125,1
Linear score gate (matched),0.0,0.12825458052073288,0.623189070236567,0.9593343113882267,0.08357105548635943,0.9622323114628952,0.9558037687331753,867.3399047851562,645.3200073242188,121.55201092852263,49.00247213756442,3483.737083530877,0.9828438265900599,2530.713134765625,1
Random gate (matched),0.0,0.13500482160077146,0.6148450394278379,0.9980286081056299,0.05291494234400739,0.9982723291413877,0.9584555426091848,862.8506469726562,640.062744140625,123.9955000200892,49.13799628936272,3493.3077385190245,0.9836473944312749,2542.800537109375,1
