bearing,required_offset_s,r_max,required_offset_frac
Bearing1_1,1222.5,3000.0,0.4075
Bearing1_2,907.5,3000.0,0.3025
Bearing1_3,-600.0,3000.0,-0.2
Bearing1_4,-577.5,3000.0,-0.1925
Bearing1_5,1301.25,3000.0,0.43375
Bearing1_6,-240.0,3000.0,-0.08
Bearing1_7,547.5,3000.0,0.1825
Bearing2_1,727.5,3000.0,0.2425
Bearing2_2,502.5,3000.0,0.1675
Bearing2_3,468.75,3000.0,0.15625
Bearing2_4,446.25,3000.0,0.14875
Bearing2_5,1200.0,3000.0,0.4
Bearing2_6,1245.0,3000.0,0.415
Bearing2_7,2257.5,3000.0,0.7525
Bearing3_1,2021.25,3000.0,0.67375
Bearing3_2,255.0,3000.0,0.085
Bearing3_3,1481.25,3000.0,0.49375
