model,calib,rmse_mean,mae_mean,rmse_deg_mean,raw_picp_mean,picp_mean,mpiw_mean,nmpiw_mean,interval_score_mean,lower_miss_crit_mean,cce_mean,picp_bearing_min_mean,n_bearing_cov_below_mean,picp_asym_mean,mpiw_asym_mean,nmpiw_asym_mean,interval_score_asym_mean,lower_miss_crit_asym_mean,cce_asym_mean,picp_bearing_min_asym_mean,n_bearing_cov_below_asym_mean,rmse_std,mae_std,rmse_deg_std,raw_picp_std,picp_std,mpiw_std,nmpiw_std,interval_score_std,lower_miss_crit_std,cce_std,picp_bearing_min_std,n_bearing_cov_below_std,picp_asym_std,mpiw_asym_std,nmpiw_asym_std,interval_score_asym_std,lower_miss_crit_asym_std,cce_asym_std,picp_bearing_min_asym_std,n_bearing_cov_below_asym_std
Edge-CNN,split,1114.3062744140625,850.9130045572916,1621.0649820963542,0.3698420989192013,0.8826523095879036,2079.8470865885415,0.6932823657989502,4000.1422526041665,0.397621343619415,0.03495593769670672,0.24197321009623474,8.0,0.8500274552345748,2221.2819010416665,0.740427295366923,4159.683186848958,0.36065573770491804,0.0582027535591359,0.20624330473736863,9.0,39.93444377849366,18.9191223533936,16.47339601071583,0.0720483940872831,0.021199588340431803,119.81609362582581,0.03993871112389612,648.1779427372921,0.02509703798899794,0.010387321838956114,0.10438729714664775,1.7320508075688772,0.008622205549735293,58.0917921353681,0.019363920050696728,633.9145453723082,0.04562977112563541,0.007800222297111657,0.04854187409234439,0.0
Edge-GRU,split,819.8357747395834,518.0550130208334,1377.4769694010417,0.7060682764809085,0.8407462466685417,1877.2677815755208,0.6257559259732565,3259.02783203125,0.5207328833172613,0.05293483064807747,0.15122599764543498,10.333333333333334,0.8283980875085378,1971.9218343098958,0.6573072870572408,3341.2244466145835,0.4773384763741562,0.06697624117749475,0.17404498031096496,11.333333333333334,34.25572607959246,62.49256758909709,59.929095176349215,0.13366042691102706,0.04096465065156225,109.48327688148085,0.03649442724486898,379.31117015524734,0.03066174174654707,0.00646746719733792,0.06838254036358152,3.055050463303893,0.04742937931309159,88.64092479636398,0.029546972456340574,251.8076003950655,0.020524394073088474,0.01043326832725177,0.06804217621876675,3.055050463303893
LSTM+DT,split,1124.3387451171875,750.9788004557291,1344.6636149088542,0.3703912036106982,0.843558734112794,2153.7635904947915,0.7179211974143982,3617.4440104166665,0.3342976534876246,0.07177648760496606,0.06376811594202898,8.666666666666666,0.8378400096428141,2022.258056640625,0.6740860342979431,3549.388427734375,0.3911925425908069,0.08499504466497919,0.09565217391304348,10.0,47.72306895727447,53.69445962346257,49.10359351819067,0.056724922441247,0.03606825541508658,40.00837575447328,0.013336129650027003,497.8813217044714,0.038841079297503855,0.003953956297594219,0.024722785665553595,1.5275252316519468,0.03490545070152667,25.349725966211516,0.008449909698452749,435.3446599958894,0.03682558417675861,0.006276399950216181,0.08385783270428657,1.0
LSTM,split,1207.9938151041667,772.1077880859375,1381.5292154947917,0.5008236570372454,0.8514872701461154,2262.90478515625,0.7543016076087952,3756.9774576822915,0.3757634201221472,0.02792337980634016,0.4003146186010636,8.0,0.8278355900196873,2032.6703694661458,0.6775567928949991,3894.4344889322915,0.40051430408228866,0.061337337779742075,0.07101449275362319,10.0,118.25979183509871,102.36073830706174,28.594058880761843,0.007027084760816346,0.03719280860485636,86.3336336351263,0.028777864136016667,529.1637963451112,0.08989063997947107,0.016000907824256564,0.05440730083683925,1.0,0.02312087555862669,188.96665129886097,0.06298886806109755,290.2083052286822,0.10402298701612595,0.015304117648201698,0.08501454710760849,1.0
GRU+DT,split,1139.6141357421875,771.1469523111979,1329.7911783854167,0.3214137436886442,0.8923353020745443,2285.5643717447915,0.7618547876675924,3371.7628580729165,0.2658309225329476,0.07619771786733097,0.29579825237045493,7.0,0.8827192735746716,2000.7510986328125,0.6669170260429382,3379.155517578125,0.35744133719061394,0.09801860259552413,0.14202898550724638,8.666666666666666,89.31594908651725,65.76372550960167,57.18274051063487,0.03768065618013628,0.02957220637949225,53.19118774549221,0.017730408667862695,584.7898055023596,0.009513756725778692,0.023098266242887803,0.08959952080182629,0.0,0.031241018719099723,28.309668337246194,0.009436574046068973,755.2010729823043,0.0038972535046551335,0.01828147048691644,0.02547593598731441,0.5773502691896257
GRU,split,1171.227294921875,751.2810668945312,1378.0911051432292,0.40035089129066387,0.8590809862455971,2150.5849609375,0.7168616652488708,3219.050048828125,0.399228543876567,0.05348822103472752,0.3587118905533228,8.666666666666666,0.8522774451899768,1999.8280436197917,0.6666093667348226,3339.736083984375,0.4281581485053037,0.0674645425690064,0.1536231884057971,9.333333333333334,114.39350361980391,83.86379178992219,36.94241513880736,0.07753326591786298,0.03428491512124417,138.24348715726092,0.04608116674986174,11.645930293514947,0.034107500836697,0.018466589936499238,0.051973473696252,2.516611478423583,0.030662993073572797,31.400898180720414,0.01046696335807353,236.11256489704616,0.030064527035911087,0.021390995641224025,0.03487307076961149,1.5275252316519468
TCN+DT,split,1153.3260091145833,854.6018269856771,1327.6209309895833,0.15669572903692394,0.8906210240132856,2455.62744140625,0.81854248046875,3483.4864095052085,0.25522340083574413,0.024136298498667424,0.4753623188405798,9.0,0.9003174092972799,2138.793212890625,0.7129310766855875,3191.9330240885415,0.36997749919639994,0.06413991455395289,0.1536231884057971,9.0,135.9444368705006,115.25503651878677,48.956457403966354,0.00968399272689746,0.013534891142714818,86.60671771565251,0.02886889574677766,443.8897374160701,0.03236344256176629,0.011210836316169566,0.0668397249715954,1.7320508075688772,0.03245486561094539,57.76751711663836,0.019255837004573256,413.50991803832903,0.06803299760926229,0.02713156149789931,0.07357124722606989,2.6457513110645907
TCN,split,1158.9385172526042,826.7749837239584,1414.1505126953125,0.16475819304378106,0.8493042441774814,2241.067626953125,0.74702254931132,3995.7576497395835,0.30504660880745743,0.036011825840063204,0.32753623188405795,9.0,0.8526658363132308,2155.3832194010415,0.7184610764185587,3810.8311360677085,0.3532626165220187,0.04304371409056209,0.07681159420289856,10.0,70.22610889652151,72.38340688393806,10.178510857717969,0.012524084522110223,0.023209563251244507,16.90583921169643,0.005635266966386798,488.18207818942926,0.02559236168352691,0.0147599693757751,0.10236645441397275,1.7320508075688772,0.022887546185500016,83.52276415106412,0.027840909016126552,542.7103884577936,0.008750020950701511,0.010813927029045583,0.11830029180952183,1.7320508075688772
CNN-LSTM+DT,split,1107.7438557942708,747.4590250651041,1339.931884765625,0.27804786585774166,0.8851835482877308,2354.9419759114585,0.7849806547164917,3483.1018880208335,0.2822243651558984,0.06875882250525668,0.39999999999999997,7.666666666666667,0.8727684251409592,1978.85400390625,0.6596180001894633,3432.0199381510415,0.3609771777563484,0.09229344958281437,0.002898550724637681,8.666666666666666,39.39800517252038,53.6038740115985,53.24186541753061,0.04392246861734284,0.010975787604969017,15.81502003497916,0.005271653683244545,126.77037378134871,0.032649512732170906,0.031783446186199694,0.050141576498568666,0.5773502691896258,0.010550813114621402,93.38982178768823,0.031129963667917756,116.69534675063204,0.049560177106288725,0.011581399985444218,0.00502043712338805,1.5275252316519468
CNN-LSTM,split,1105.7543131510417,674.4933878580729,1407.7434895833333,0.39792679496966527,0.8503622751684143,2119.136962890625,0.7063789963722229,3999.38427734375,0.3715846994535519,0.05618820898120991,0.2582166199813259,8.0,0.8565229619510627,1905.2098388671875,0.6350699265797933,3937.5419921875,0.4169077467052395,0.06469973348333267,0.059420289855072465,8.0,74.19021363227803,33.6154257222908,51.128909175553204,0.03555340486019797,0.01811846509281138,51.89096661759345,0.01729697312176794,319.75419965296436,0.0690437966390736,0.025836320157908935,0.10415399093034043,1.7320508075688772,0.04298246750461322,164.79021974632985,0.0549300819909787,608.3140893788701,0.08532644177711121,0.02298019110146795,0.10291896102945503,1.7320508075688772
