family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
HERA (decision-sufficiency),0.02,0,0.0,0.17743490838958534,0.6125985695947185,0.9532367504126169,0.08557997508939692,0.9588573265297923,1.0,919.3841552734375
HERA (decision-sufficiency),0.05,0,0.0,0.17743490838958534,0.6125985695947185,0.9532367504126169,0.08557997508939692,0.9588573265297923,1.0,919.3841552734375
HERA (decision-sufficiency),0.1,0,0.019286403085824494,0.19672131147540983,0.6125068769484687,0.94801026957638,0.0890353168066214,0.9528707461127406,0.9689421029370404,920.2971801757812
HERA (decision-sufficiency),0.15,0,0.0626808100289296,0.22757955641272903,0.6011828351366221,0.9068861177333578,0.1196512515569127,0.9063441681063924,0.9072280927317289,923.2153930664062
HERA (decision-sufficiency),0.2,0,0.06750241080038573,0.22757955641272903,0.5962772785622593,0.8790573995965524,0.14199043754268953,0.8797058941701154,0.8804291052272089,921.8567504882812
HERA (decision-sufficiency),0.3,0,0.08389585342333655,0.22757955641272903,0.5796350632679259,0.809187603154227,0.2008517819116879,0.8149785045602475,0.8154606452649765,918.581298828125
HERA (decision-sufficiency),0.4,0,0.11861137897782063,0.22757955641272903,0.5581789840454795,0.7549055565743628,0.24790067901482582,0.7646349793081281,0.765117120012857,913.7960815429688
HERA (decision-sufficiency),0.5,0,0.18611378977820636,0.26133076181292186,0.5447460113698881,0.6358885017421603,0.35071718429828436,0.6555104664711319,0.6559524287838001,916.7130126953125
Width gate,0.02,0,0.019286403085824494,0.3452266152362584,0.32207041995231983,0.9661654135338346,0.10514685202298205,0.9689421029370404,0.0,747.1142578125
Linear score gate,0.02,0,0.019286403085824494,0.3471552555448409,0.32188703465982027,0.9661654135338346,0.10506649523886054,0.9689421029370404,0.020008839246253365,751.355224609375
Anomaly trigger,0.02,0,0.019286403085824494,0.3471552555448409,0.3215661103979461,0.9661654135338346,0.1047852464944353,0.9689421029370404,0.020008839246253365,749.2881469726562
Random gate,0.02,0,0.01832208293153327,0.3442622950819672,0.32798459563543003,0.9659361819182102,0.1043834625738278,0.9687813893687974,0.020169552814496363,750.0380859375
Width gate,0.06,0,0.019286403085824494,0.3452266152362584,0.32207041995231983,0.9661654135338346,0.10514685202298205,0.9689421029370404,0.0,747.1142578125
Linear score gate,0.06,0,0.019286403085824494,0.3548698167791707,0.321199339812947,0.9661654135338346,0.10474506810237454,0.9689421029370404,0.060026517738760096,773.3543701171875
Anomaly trigger,0.06,0,0.019286403085824494,0.3857280617164899,0.33238584265541904,0.9661654135338346,0.09871830929326209,0.9689019245449797,0.060026517738760096,766.0579833984375
Random gate,0.06,0,0.019286403085824494,0.3394406943105111,0.33885017421602787,0.9654777186869613,0.10394150026115954,0.9684197838402507,0.05697295994214312,759.91259765625
