fold,arch,ctx,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
0,GRU,True,8,32,0.0,0.07504007200538473,901.1039428710938,0.42567567567567566
0,GRU,False,8,32,0.0,0.0452294978869005,689.8602905273438,0.6567567567567567
0,GRU,True,8,32,0.2,0.07444352681379396,908.7024536132812,0.41824324324324325
0,GRU,False,8,32,0.2,0.03771582246267212,631.3709106445312,0.841554054054054
0,GRU,True,8,64,0.0,0.05466439288985803,646.9385375976562,0.36858108108108106
0,GRU,False,8,64,0.0,0.05577148965375313,782.4227294921875,0.45675675675675675
0,GRU,True,8,64,0.2,0.05176843505459711,626.03076171875,0.3493243243243243
0,GRU,False,8,64,0.2,0.05135762649252675,723.6591186523438,0.4006756756756757
0,GRU,True,20,32,0.0,0.10246354255137274,961.9205932617188,0.11621621621621622
0,GRU,False,20,32,0.0,0.07886734785331698,1047.6341552734375,0.5155405405405405
0,GRU,True,20,32,0.2,0.12624125783373644,1114.826416015625,0.13817567567567568
0,GRU,False,20,32,0.2,0.07530684400001657,1036.946533203125,0.6635135135135135
0,GRU,True,20,64,0.0,0.07533599201025444,708.9562377929688,0.08006756756756757
0,GRU,False,20,64,0.0,0.05070806264514438,666.787353515625,0.2608108108108108
0,GRU,True,20,64,0.2,0.0734328439607136,711.79052734375,0.29662162162162165
0,GRU,False,20,64,0.2,0.055254882730036,681.60693359375,0.28581081081081083
0,Edge-CNN,False,8,16,0.0,0.06799298533353837,907.9599609375,0.5493243243243243
0,Edge-CNN,False,8,16,0.2,0.06844160652230703,894.795654296875,0.5391891891891892
0,Edge-CNN,False,20,16,0.0,0.08317260270984424,937.7274780273438,0.17804054054054055
0,Edge-CNN,False,20,16,0.2,0.09114578899979876,979.7664184570312,0.1837837837837838
2,GRU,True,8,32,0.0,0.041783382678122226,555.1934814453125,0.6745762711864407
2,GRU,False,8,32,0.0,0.05367636803818869,872.171875,0.7568567026194145
2,GRU,True,8,32,0.2,0.04972445439654927,655.5081176757812,0.65115562403698
2,GRU,False,8,32,0.2,0.05783348173368243,892.9090576171875,0.7288135593220338
2,GRU,True,8,64,0.0,0.05611445718839989,550.3742065429688,0.28012326656394454
2,GRU,False,8,64,0.0,0.06932624131514302,811.7781372070312,0.2878274268104777
2,GRU,True,8,64,0.2,0.05323601814885214,577.0388793945312,0.24622496147919876
2,GRU,False,8,64,0.2,0.05974584689482704,801.09619140625,0.3325115562403698
2,GRU,True,20,32,0.0,0.0631838445708301,679.0808715820312,0.19044684129429892
2,GRU,False,20,32,0.0,0.047980138138316863,684.4591674804688,0.4893682588597843
2,GRU,True,20,32,0.2,0.04705965253534288,596.1527099609375,0.37966101694915255
2,GRU,False,20,32,0.2,0.05029653879814089,703.8587036132812,0.5389830508474577
2,GRU,True,20,64,0.0,0.05248636220140325,556.0097045898438,0.20431432973805855
2,GRU,False,20,64,0.0,0.06689011683496471,794.4765014648438,0.31217257318952235
2,GRU,True,20,64,0.2,0.04539083695749963,608.2323608398438,0.2573189522342065
2,GRU,False,20,64,0.2,0.07148694382174467,821.752685546875,0.2822804314329738
2,Edge-CNN,False,8,16,0.0,0.0879550834388329,1080.2598876953125,0.2933744221879815
2,Edge-CNN,False,8,16,0.2,0.09306764398785197,1093.22900390625,0.2443759630200308
2,Edge-CNN,False,20,16,0.0,0.09518323839138418,1040.16650390625,0.17134052388289678
2,Edge-CNN,False,20,16,0.2,0.07925371413684054,1091.453125,0.45238828967642525
