policy,unsafe_rate_mean,missed_urgent_mean,false_urgent_mean,false_maint_mean,action_acc_mean,approval_load_mean,escalation_rate_mean,rmse_mean,mae_mean,bytes_per_snapshot_mean,latency_mean_ms_mean,latency_p95_ms_mean,kmacs_per_snapshot_mean,picp_mean,mpiw_mean,unsafe_rate_std,missed_urgent_std,false_urgent_std,false_maint_std,action_acc_std,approval_load_std,escalation_rate_std,rmse_std,mae_std,bytes_per_snapshot_std,latency_mean_ms_std,latency_p95_ms_std,kmacs_per_snapshot_std,picp_std,mpiw_std
Always-edge,0.06718097074895531,0.4754098360655738,0.21911486032153557,0.8682376673390794,0.18589202726773543,0.8738398489292458,0.0,809.3758748372396,510.1296895345052,0.0,0.13324999963515438,0.13324999963515438,34.096,0.837491796911621,1878.6651611328125,0.058897256335218945,0.031202873071096312,0.07272568485180166,0.15361098425397116,0.12582054698764253,0.14027386105194192,0.0,25.22956275600307,58.55833710744975,0.0,0.0,0.0,0.0,0.04453247504372509,129.9266496191019
Always-cloud,0.05400192864030859,0.35936997749919636,0.36638853230637575,0.8403478207714409,0.2002089276387159,0.8527461930973522,1.0,1090.4815266927083,710.0981852213541,112.0,50.24235449927801,50.24235449927801,551.488,0.8453265833634672,2007.9688313802083,0.01264694025902025,0.07659114469587819,0.1025386233295614,0.055790291212209464,0.05253840602587733,0.04941551857009778,0.0,63.03445691218,42.3852609340434,0.0,0.0,0.0,0.0,0.0055890343352163726,74.95397313605454
Cloud point+threshold,0.4098360655737705,0.7647058823529411,0.05732318601381503,0.2355584082156611,0.6992513426279346,0.2635568591211646,1.0,1099.5851236979167,789.1963704427084,112.0,50.24235449927801,50.24235449927801,551.488,,,0.03432492137041018,0.03260200868732296,0.01929854307310424,0.014380187266019058,0.010019844410253352,0.012501507389149328,0.0,66.44347248796454,44.997924636682974,0.0,0.0,0.0,0.0,,
HERA-full,0.09418193506910962,0.35936997749919636,0.3502047802432912,0.7499083073537504,0.2754228775764394,0.7671394324132481,0.8747103807572287,1083.2269083658855,693.4908447265625,116.6335328860139,44.080759033838284,50.37560449891316,516.4882784630425,0.8470944326141402,1932.3436279296875,0.036724437954579435,0.07659114469587819,0.08085151274448961,0.11604279485511564,0.09091613750967341,0.10727995840914387,0.14052111792914024,76.71299980435943,64.61415286050219,9.534093960646793,7.060111821630704,0.0,77.49571028450565,0.009185340491750456,26.51736950657051
HERA w/o anomaly term,0.09578913532626165,0.3609771777563484,0.3500978054893331,0.7498013325997922,0.275436270373793,0.7662822933826189,0.8738398489292458,1083.998270670573,694.0384318033854,116.54053330119062,44.037021465133854,50.37560449891316,516.0081906062919,0.8463310431649859,1930.5357666015625,0.03845610762253339,0.07794507009310284,0.08093545202369853,0.11605777637355455,0.09091865290236806,0.10744771804845332,0.14027386105194192,77.84890241103417,65.26350522429833,9.485554537998382,7.047689053954124,0.0,77.35935108381334,0.010500354559803086,25.080699933146953
HERA-no-DT,0.06525233044037287,0.3252973320475731,0.42664588300018336,0.8261507427104346,0.2097981705438815,0.837652510479864,0.8747103807572287,1088.3115844726562,662.0799153645834,116.6335328860139,44.080759033838284,50.37560449891316,516.4882784630425,0.8307552198427685,2043.5552164713542,0.05685673935764816,0.05639692954607625,0.1430345841679043,0.11177013890136196,0.0974838858059684,0.10303225413347872,0.14052111792914024,93.91137400643616,88.82860284726117,9.534093960646793,7.060111821630704,0.0,77.49571028450565,0.030686517092700063,196.87713669791864
HERA-no-UQ,0.4818386370941819,0.7701703632272582,0.052371783116327404,0.16986062717770034,0.7465011316913763,0.19209289244244446,0.326596756264481,1014.2065633138021,627.4093627929688,69.25624439176612,16.542240006189502,50.37560449891316,214.21019191878608,,,0.05492675951546727,0.03852858281374625,0.01683904513578654,0.04406754683971323,0.03019470542559827,0.0457979390202877,0.10754871003320997,69.71788465210811,70.97150574152691,15.698087741110385,5.403500415428592,0.0,59.31182299879488,,
HERA-fixed (anomaly trigger),0.06718097074895532,0.47123111539697843,0.2202457362919494,0.8683446420930375,0.18461971151914502,0.8746032383784001,0.03933464582747399,811.0132242838541,509.97852579752606,27.15143235967697,2.109515219402649,0.13324999963515438,55.788585158101974,0.8385766134972612,1881.892333984375,0.056971111955298435,0.03370065553733503,0.07326814774794288,0.15365060104708264,0.12568600597135907,0.14049935610342099,0.0,39.34033856296784,63.07036230879284,0.0,0.0,0.0,0.0,0.04754080686660013,151.66042125656645
Width gate (matched),0.09546769527483125,0.3609771777563484,0.3500978054893331,0.749847178922917,0.2753960919817322,0.7663358645720332,0.8738130633345387,1083.9895833333333,694.0069986979166,116.53903330788701,44.03567569378911,50.37560449891316,515.9934186722381,0.8463310431649859,1930.3592122395833,0.03827026968753025,0.07794507009310284,0.08093545202369853,0.11608387093104541,0.0909424066149227,0.10745328683006271,0.14015854343115725,77.84681830799907,65.25307249298511,9.48378533039374,7.041895225170653,0.0,77.29575479976208,0.010500354559803086,24.8596063900234
Linear score gate (matched),0.07585985213757634,0.3596914175506268,0.35555351794119444,0.7701571000672413,0.25968634068597907,0.7883000522319096,0.8893754938594025,1086.4270426432292,699.1934611002604,117.00703121861063,44.8175688450897,50.37560449891316,524.5759123575341,0.8462506863808644,1943.9491780598958,0.020957792751787895,0.07603467208417145,0.0838450705098664,0.10631172515248159,0.08259034086096324,0.09755822428155363,0.1416729093050434,69.49604774379806,57.57576310737666,9.934348522972458,7.117980532248053,0.0,78.1309094068199,0.005936938093047481,31.90396980240203
