policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse,mae,bytes_per_snapshot,latency_mean_ms,latency_p95_ms,kmacs_per_snapshot,picp,mpiw,seed
Always-edge,0.0,0.49758919961427195,0.15482303319273794,0.9994039977993765,0.08505765599260717,0.9994776809032102,0.0,784.434326171875,442.5124816894531,0.0,0.13324999963515438,0.13324999963515438,34.096,0.8846880147856483,1978.131591796875,0
Always-cloud,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710801393728222,0.17923580698300454,0.8805094620113303,1.0,1086.3768310546875,715.49072265625,112.0,50.24235449927801,50.24235449927801,551.488,0.8513399493752261,1947.501953125,0
Cloud point+threshold,0.42719382835101255,0.7849566055930569,0.06739409499358151,0.21909957821382725,0.7100325444975693,0.24918638756076983,1.0,1158.3077392578125,806.365478515625,112.0,50.24235449927801,50.24235449927801,551.488,,,0
HERA-full,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8709426004034476,0.17935634215918678,0.880388926835148,0.9994776809032102,1086.3616943359375,715.4265747070312,124.0,50.3493619576905,50.37560449891316,585.2959472859496,0.8513399493752261,1947.48681640625,0
HERA w/o anomaly term,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8709426004034476,0.17935634215918678,0.880388926835148,0.9994776809032102,1086.3616943359375,715.4265747070312,124.0,50.3493619576905,50.37560449891316,585.2959472859496,0.8513399493752261,1947.48681640625,0
HERA-no-DT,0.0,0.2757955641272903,0.5917384925728957,0.9099578213827251,0.13078066615774037,0.9210896379926875,0.9994776809032102,993.9907836914062,572.1900634765625,124.0,50.3493619576905,50.37560449891316,585.2959472859496,0.8656434569488529,2259.31591796875,0
HERA-no-UQ,0.532304725168756,0.8013500482160077,0.05496974142673758,0.11997982761782505,0.7804250873880028,0.13978062597934832,0.20274016633854314,1019.4842529296875,558.2926635742188,51.37932419944554,10.319393308058828,50.37560449891316,145.90476885371046,,,0
HERA-fixed (anomaly trigger),0.0019286403085824494,0.49951783992285437,0.1550064184852375,0.9994039977993765,0.08288802282132669,0.999357145727028,0.03933464582747399,771.9854125976562,437.2016906738281,27.151432359676967,2.109515219402649,0.13324999963515438,55.788585158101974,0.8906344168106393,2002.968994140625,0
Width gate (matched),0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710342930496974,0.17927598537506528,0.8804692836192696,0.9993169673349672,1086.3323974609375,715.3391723632812,123.9955000200892,50.341287329622,50.37560449891316,585.2073156816265,0.8513399493752261,1946.909423828125,0
Linear score gate (matched),0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8730056849440675,0.17754831451645306,0.8821969544778818,0.9979509020049018,1086.374267578125,715.4085693359375,124.0,50.27265299103968,50.37560449891316,584.4539470448793,0.8513399493752261,1947.8194580078125,0
Random gate (matched),0.052073288331726135,0.4069431051108968,0.2990097194205025,0.8711718320190721,0.17915545019888304,0.8805898187954518,0.9988348266302383,1086.309326171875,715.265380859375,124.0,50.31706344541647,50.37560449891316,584.9414208686568,0.8512997709831652,1947.555419921875,0
Always-edge,0.10993249758919961,0.4889103182256509,0.2980469466348799,0.9060608839171098,0.14572702800433926,0.8995540198481257,0.0,834.8839111328125,543.821044921875,0.0,0.13324999963515438,0.13324999963515438,34.096,0.7962151954678773,1926.1983642578125,1
Always-cloud,0.06750241080038573,0.40115718418514945,0.31556024206858607,0.7759490188886852,0.25999437502511147,0.7956928763710877,1.0,1155.468017578125,749.5291137695312,112.0,50.24235449927801,50.24235449927801,551.488,0.8402908915585199,1984.57470703125,1
Cloud point+threshold,0.43201542912246865,0.7270973963355835,0.06950302585732625,0.2418852008068953,0.6974968861746152,0.26955683233556993,1.0,1112.9844970703125,823.0821533203125,112.0,50.24235449927801,50.24235449927801,551.488,,,1
HERA-full,0.11957569913211186,0.40115718418514945,0.30799559875298,0.7391802677425271,0.28679336252963156,0.7539877054120294,0.9021656153320744,1158.324462890625,744.2814331054688,120.0355176985817,45.460174662208516,50.37560449891316,531.629510868255,0.8365543010968701,1947.8194580078125,1
HERA w/o anomaly term,0.12439729990356799,0.4059787849566056,0.3076746744911058,0.7388593434806529,0.28683354092169233,0.7514162883201414,0.8995540198481257,1160.6385498046875,745.9241943359375,119.75651894411186,45.32896195609525,50.37560449891316,530.1892472980031,0.8342641327494074,1942.3958740234375,1
HERA-no-DT,0.10414657666345227,0.3866923818707811,0.3399504859710251,0.8692462864478269,0.17987866125597654,0.8693800474105027,0.9021656153320744,1089.1358642578125,664.2418823242188,120.0355176985817,45.460174662208516,50.37560449891316,531.629510868255,0.8186749166298365,1997.6917724609375,1
HERA-no-UQ,0.48987463837994216,0.7270973963355835,0.0677608655785806,0.20351182835136622,0.7225682028205231,0.22495881714813773,0.39635983767929606,1081.1356201171875,700.1005859375,75.5982160793925,20.047301473594636,50.37560449891316,252.68369416207963,,,1
HERA-fixed (anomaly trigger),0.10703953712632594,0.4802314368370299,0.2995140289748762,0.9063818081789841,0.14584756318052153,0.9020450801558921,0.03933464582747399,850.6588134765625,548.7163696289062,27.151432359676967,2.109515219402649,0.13324999963515438,55.788585158101974,0.7974607256217606,1930.9268798828125,1
Width gate (matched),0.12439729990356799,0.4059787849566056,0.3076746744911058,0.7388593434806529,0.28683354092169233,0.7514162883201414,0.8995540198481257,1160.6385498046875,745.9241943359375,119.75651894411186,45.32896195609525,50.37560449891316,530.1892472980031,0.8342641327494074,1942.3958740234375,1
Linear score gate (matched),0.08389585342333655,0.40115718418514945,0.31556024206858607,0.776774252704933,0.258789023263289,0.7952509140584194,0.9410582988468802,1155.949462890625,746.9229125976562,121.3855116718229,47.41423465478761,50.37560449891316,553.0783591144682,0.8397283940696694,1973.741455078125,1
Random gate (matched),0.06943105110896818,0.40790742526518803,0.3152393178067119,0.7804419585549239,0.2560167142110973,0.7992687532644943,0.9654064044356945,1146.37255859375,743.2000732421875,124.0,48.63754080716667,50.37560449891316,566.5060471694322,0.8386033990919683,1982.9688720703125,1
Always-edge,0.09161041465766634,0.43972999035679844,0.20447460113698882,0.6992481203007519,0.3268913978062598,0.7224878460364016,0.0,808.8093872070312,544.0555419921875,0.0,0.13324999963515438,0.13324999963515438,34.096,0.8315721804813372,1731.66552734375,2
Always-cloud,0.04243008678881389,0.2709739633558341,0.48441225013753897,0.874014304052815,0.16139660090803165,0.8820362409096388,1.0,1029.5997314453125,665.2747192382812,112.0,50.24235449927801,50.24235449927801,551.488,0.8443489091566555,2091.829833984375,2
Cloud point+threshold,0.3702989392478303,0.7820636451301832,0.03507243719053732,0.24569044562626077,0.6902245972116196,0.2719273574671542,1.0,1027.463134765625,738.1414794921875,112.0,50.24235449927801,50.24235449927801,551.488,,,2
