model,rmse_mean,mae_mean,rmse_deg_mean,overest_crit_mean,raw_picp_mean,picp_mean,mpiw_mean,nmpiw_mean,interval_score_mean,lower_miss_mean,lower_miss_crit_mean,cce_mean,picp_bearing_min_mean,picp_bearing_median_mean,picp_asym_mean,mpiw_asym_mean,nmpiw_asym_mean,interval_score_asym_mean,lower_miss_asym_mean,lower_miss_crit_asym_mean,cce_asym_mean,picp_bearing_min_asym_mean,picp_bearing_median_asym_mean,rmse_std,mae_std,rmse_deg_std,overest_crit_std,raw_picp_std,picp_std,mpiw_std,nmpiw_std,interval_score_std,lower_miss_std,lower_miss_crit_std,cce_std,picp_bearing_min_std,picp_bearing_median_std,picp_asym_std,mpiw_asym_std,nmpiw_asym_std,interval_score_asym_std,lower_miss_asym_std,lower_miss_crit_asym_std,cce_asym_std,picp_bearing_min_asym_std,picp_bearing_median_asym_std
Edge-CNN,1114.3062744140625,850.9130045572916,1621.0649820963542,0.848923175827708,0.3698420989192013,0.8826523095879036,2079.8470865885415,0.6932823657989502,4000.1422526041665,0.049044423908821834,0.397621343619415,0.03495593769670672,0.24197321009623474,0.9132823081857174,0.8500274552345748,2221.2819010416665,0.740427295366923,4159.683186848958,0.04682121954812701,0.36065573770491804,0.0582027535591359,0.20624330473736863,0.8601718195140124,39.93444377849366,18.9191223533936,16.47339601071583,0.03437004419963333,0.0720483940872831,0.021199588340431803,119.81609362582581,0.03993871112389612,648.1779427372921,0.006328107378763405,0.02509703798899794,0.010387321838956114,0.10438729714664775,0.03619193743430303,0.008622205549735293,58.0917921353681,0.019363920050696728,633.9145453723082,0.006027339135724141,0.04562977112563541,0.007800222297111657,0.04854187409234439,0.018746195262375497
Edge-GRU,816.459228515625,524.664794921875,1362.3012288411458,0.79524268723883,0.688831746286847,0.8374917969116208,1878.6651611328125,0.6262217362721761,3291.081787109375,0.05039709644153375,0.5155898424943749,0.054007593716099485,0.13351398530426664,0.8573556573316314,0.827460591693787,1959.2168782552083,0.6530722975730896,3393.3902994791665,0.04987477734474399,0.4802314368370299,0.0662128517283405,0.14160678764259327,0.8399066713773259,29.7796444957347,65.39537411598262,61.13369334617155,0.0036508571814851906,0.14629305848591853,0.044532475043725116,129.9266496191019,0.043308874988987764,307.59768905440853,0.00653072954144786,0.0347199897126141,0.005186954274719311,0.0701906342829951,0.055943496109888864,0.04515696177724122,83.11591602192784,0.027705297389279657,166.65036884858,0.0012035647308000056,0.044848663275731865,0.0089451942156739,0.06480829442520329,0.054710030215079926
LSTM+DT,1201.56298828125,824.3118082682291,1411.5780843098958,0.7457409193185471,0.4403016057964027,0.8592416998138401,1989.3567301432292,0.6631189187367758,3563.5891927083335,0.05382565256405105,0.5088396014143363,0.0657647287288896,0.0782608695652174,0.9007007152616927,0.8108535229753439,1918.4390869140625,0.6394796768824259,4098.498616536458,0.05685242476596086,0.4815171970427515,0.09014363775161717,0.06086956521739131,0.8295106514421272,126.7224476315946,119.15342778549389,26.25116930251391,0.03169568424707096,0.057539782805262875,0.014234401586066472,27.59931808439262,0.009199781062870963,268.55860698049054,0.007804577247541308,0.06141692404514774,0.0048237827516014395,0.03558849031248891,0.028007237511167456,0.06798630744342433,78.96058855076846,0.026320197140710374,815.508005884767,0.006044945572696456,0.06269069971186095,0.007171611711389844,0.10542917959114904,0.05862859479395481
LSTM,1200.4965413411458,777.7956746419271,1391.9888102213542,0.6872388299582127,0.5302744184177749,0.8644514979843839,2014.2053629557292,0.6714017788569132,3180.0162760416665,0.04613818688309427,0.41112182577949213,0.07204260248838174,0.2565217391304348,0.8836108544564948,0.7811215128503891,1815.0777994791667,0.6050259272257487,4056.2879231770835,0.053263155075200554,0.44680167148826744,0.1148299114736095,0.11739130434782608,0.8329070758738277,78.71181768491593,69.34901217740145,21.09941874885884,0.025881413993443507,0.028499397597076637,0.0408124728449982,184.27822715229473,0.061426072105525385,226.29842167499834,0.00797926411763307,0.0275689895755597,0.04820534704912168,0.16590246981164272,0.04861315459754853,0.11297984052986762,118.42546110819485,0.039475141127515295,628.924922627546,0.004861806802862325,0.036111611730869735,0.03222575712878012,0.10187282185965202,0.015348109995523005
GRU+DT,1166.4811197916667,783.6088256835938,1360.6232096354167,0.7058823529411765,0.3779581341154727,0.8803219628483802,2145.1826985677085,0.7150608897209167,3311.19287109375,0.03116503944178821,0.3555126968820315,0.05093595564305517,0.3043478260869565,0.9072956153178092,0.8269784509890581,1917.1335042317708,0.6390445033709208,3887.6193033854165,0.04747746661845259,0.40019286403085824,0.07331237360547499,0.12753623188405797,0.8231749794099336,83.25789300390227,77.48453736283417,74.93769857003424,0.016049485995268332,0.09454175431843524,0.03712886348018582,244.0688262559551,0.08135629533013977,409.8902652316321,0.010721409000108678,0.03397546836830297,0.009041133761549408,0.2109031797501722,0.03751570778985376,0.02839484978384943,100.70953814010498,0.03356983379093462,492.6312622301293,0.0047385526430676955,0.006022177433363922,0.017338302905826358,0.02394595890124393,0.009466129680645965
GRU,1148.8700764973958,706.2764485677084,1372.3130696614583,0.660559305689489,0.5394618774023331,0.8547551127003897,2009.3298746744792,0.6697766383488973,3561.473876953125,0.03921411065129173,0.35294117647058826,0.06657914473596101,0.17391304347826086,0.9170682261208577,0.8389382190258079,1916.0901285807292,0.6386967102686564,3783.7989095052085,0.04548193981276869,0.4207650273224044,0.09188296034392703,0.16102715288659883,0.8662228174706342,95.36205662292997,87.2292953348043,34.0089249476785,0.035913644068536324,0.04426076786914754,0.02802240506886697,167.19807571671788,0.05573268082632015,780.6921685865001,0.012128884337513222,0.1394935018465712,0.01906997241262633,0.04412561550040095,0.03026182234719133,0.056182701891609885,152.22957528619148,0.05074319125570484,1065.0276427043589,0.009520583476656734,0.036188782543226314,0.014696689391727816,0.0041137090277982265,0.07733311353383901
TCN+DT,1047.3152262369792,808.3625284830729,1209.4952799479167,0.6853101896496304,0.3090789773259941,0.8929111923607485,2313.580810546875,0.7711936036745707,3225.9104817708335,0.02349096655818501,0.2774027643844423,0.04040185088459427,0.2581148275623229,0.9330902014945979,0.884634443596234,2211.0616861979165,0.7370205720265707,3142.14013671875,0.031647180146517205,0.32915461266473806,0.05542950701112942,0.10434782608695652,0.9021074508688587,77.33723812744994,48.77998313773642,68.6366253099715,0.03611161173086971,0.002994930152249627,0.017790651434622766,111.37128988528825,0.03712378031390171,202.09936243747993,0.007405950528899415,0.06957376667807745,0.020986562025616447,0.21392588650726888,0.0246196770547994,0.020459771976423922,53.054571730655404,0.01768487189165545,124.0670187175254,0.004442271972578247,0.034853648578646,0.012926964891733273,0.03984848430396383,0.025932501786081794
TCN,1111.605712890625,825.2948404947916,1380.478271484375,0.6814529090324655,0.32474855022968646,0.8725005691938875,2122.116902669271,0.7073722879091898,3414.470458984375,0.0379685804974085,0.348762455801993,0.03179121968205501,0.2072463768115942,0.8862519701173687,0.8588667014879398,2117.5499267578125,0.7058499654134115,3684.162841796875,0.03853107798625899,0.34361941497910636,0.04161805081227316,0.16973543963473806,0.8831035141579041,62.74851759027742,79.25072040601623,29.525378358766098,0.011979842593111058,0.038686103021984636,0.015831425158675805,170.3758837811104,0.05679196482078525,49.47524124964223,0.009264060379663775,0.061462330246479215,0.013360031485096182,0.16762171230870745,0.02027342466628647,0.022506726453393352,148.4489484977305,0.04948298880850135,488.8416435877539,0.007485267868920162,0.03371444938014089,0.013850834165371206,0.1483254658960745,0.01157929321966731
CNN-LSTM+DT,1092.9217122395833,716.5195109049479,1411.78076171875,0.7373834779813565,0.36096267427377554,0.8453265833634672,2007.9688313802083,0.6693229277928671,3572.011474609375,0.04102213829402548,0.42108646737383476,0.062176530461917595,0.1971014492753623,0.832791085570117,0.8400364284088018,1917.8739420572917,0.6392913262049357,3583.930419921875,0.050638166793898244,0.44230151076824176,0.07325759706429882,0.10579710144927536,0.8286075212624153,64.00103542504199,43.45681280091205,14.376770066561297,0.01280526151529542,0.07349385744464056,0.005589034335216375,74.9539731360545,0.024984656116124614,382.0751340649416,0.008037988337689362,0.08082092186782508,0.012775614562900042,0.035410990501074234,0.025279329945030786,0.010359975863749827,55.08354273350559,0.01836117140426552,282.08009362953516,0.0031283292713969835,0.022785996269298964,0.011634074785978176,0.05039228594409771,0.012399990181638981
CNN-LSTM,1096.2125040690105,675.8521525065104,1424.82763671875,0.7219543555126968,0.46797112512890565,0.8307284342480615,2146.5455729166665,0.7155151963233948,3793.1171061197915,0.03421859723840519,0.40437158469945356,0.043950406471399674,0.3391690009337068,0.8742291156409202,0.8154740380623301,1927.6787923177083,0.6425596078236898,4001.952392578125,0.05145512743246682,0.44615879138540665,0.060270065758635,0.07971014492753624,0.8180035097832472,104.06046098614405,104.51463093850795,43.48522652464975,0.06840785041572614,0.008559066350902741,0.03218590151733273,103.96664661127325,0.03465555545061494,339.5278309349597,0.01062491223864809,0.041143070938731464,0.016590908777347133,0.04498357285756064,0.0510924095949835,0.03168626886916984,123.89149068225731,0.041297165735291366,386.00021961471816,0.004306841271504109,0.02559236168352691,0.024392191103685353,0.06768286625411951,0.025456396066660125
