policy,eps,n_cal,late,late_q95,premature,timely,false_alarm,lead,esc,theta
cloud,0.05,12,0.004524647887323944,0.0066461267605633775,0.7934859154929578,0.20198943661971833,0.961923113074537,161.552,1.0,0.01
cloud,0.05,25,0.04707746478873239,0.15334507042253515,0.6760387323943662,0.2768838028169014,0.8119090140050758,139.034,1.0,0.07150000000000001
cloud,0.05,50,0.0398943661971831,0.09647887323943659,0.6814788732394367,0.27862676056338026,0.8169358022370524,139.28,1.0,0.06280000000000001
cloud,0.05,100,0.04955985915492958,0.1017165492957746,0.6524295774647888,0.2980105633802817,0.7791578155841715,133.634,1.0,0.0776
cloud,0.05,200,0.04961267605633803,0.08235035211267605,0.6502112676056337,0.3001760563380282,0.7752871510480308,133.32399999999998,1.0,0.0767
cloud,0.05,500,0.0472887323943662,0.06866197183098592,0.6537147887323944,0.29899647887323944,0.7783306701757684,133.648,1.0,0.0741
cloud,0.05,1000,0.04875,0.0669894366197183,0.6471830985915493,0.30406690140845066,0.7708750822445718,132.838,1.0,0.0771
cloud,0.1,12,0.07667253521126761,0.1980633802816901,0.6175704225352113,0.3057570422535211,0.7390356236488391,129.298,1.0,0.11359999999999999
cloud,0.1,25,0.08698943661971831,0.2124119718309859,0.5924823943661972,0.3205281690140845,0.7080627878560015,124.88799999999999,1.0,0.1276
cloud,0.1,50,0.10066901408450704,0.1675176056338028,0.5578169014084507,0.34151408450704224,0.6622746498731084,118.602,1.0,0.1494
cloud,0.1,100,0.09779929577464788,0.15669014084507044,0.559419014084507,0.34278169014084503,0.6637033555785318,118.766,1.0,0.1459
cloud,0.1,200,0.10362676056338029,0.1457306338028169,0.5495598591549296,0.3468133802816902,0.6505291850737851,117.01,1.0,0.1535
cloud,0.1,500,0.09709507042253522,0.1272007042253521,0.557887323943662,0.3450176056338028,0.6638593852805715,118.55799999999999,1.0,0.14300000000000002
cloud,0.1,1000,0.09846830985915492,0.12174295774647885,0.5563028169014085,0.34522887323943663,0.6621938152081962,118.228,1.0,0.1441
cloud,0.2,12,0.16029929577464788,0.3442781690140845,0.4828345070422535,0.3568661971830986,0.5793213647899238,108.942,1.0,0.2231
cloud,0.2,25,0.18772887323943663,0.3444542253521126,0.4393485915492958,0.3729225352112676,0.5258689726478053,102.06,1.0,0.2611
cloud,0.2,50,0.20160211267605632,0.30915492957746477,0.4171478873239437,0.38125,0.5016204530500987,98.96799999999999,1.0,0.2802
cloud,0.2,100,0.20410211267605632,0.2776408450704225,0.4120774647887324,0.38382042253521126,0.4973437353134693,98.19,1.0,0.28350000000000003
cloud,0.2,200,0.20639084507042252,0.25801056338028167,0.40816901408450706,0.3854401408450704,0.49287902998402106,97.85799999999999,1.0,0.2867
cloud,0.2,500,0.19684859154929576,0.23331866197183096,0.416637323943662,0.3865140845070422,0.5029156875646207,98.706,1.0,0.2767
cloud,0.2,1000,0.19839788732394367,0.23261443661971826,0.4145774647887324,0.38702464788732394,0.5013234326534449,98.61399999999999,1.0,0.2781
cloud_fixed0.5,,0,0.40477112676056337,0.42174295774647885,0.22304577464788733,0.3721830985915493,0.2858952909107999,75.99600000000001,1.0,0.5
edge,0.05,12,0.0021830985915492957,0.0035211267605633804,0.8719366197183099,0.12588028169014084,0.9778813798289313,181.25,0.0,0.01
edge,0.05,25,0.04170774647887324,0.10673415492957743,0.7017605633802817,0.2565316901408451,0.8300535764639534,143.07,0.0,0.1717
edge,0.05,50,0.03933098591549296,0.08437499999999998,0.6980633802816901,0.2626056338028169,0.8278804398909672,140.94799999999998,0.0,0.1743
edge,0.05,100,0.04961267605633803,0.09432218309859151,0.6604929577464789,0.2898943661971831,0.793506908544036,133.678,0.0,0.2118
edge,0.05,200,0.05088028169014084,0.07746478873239436,0.6509683098591549,0.29815140845070426,0.7852617727230004,131.752,0.0,0.221
edge,0.05,500,0.05084507042253521,0.07099471830985915,0.6492077464788732,0.2999471830985916,0.783874424287997,131.28,0.0,0.22240000000000001
edge,0.05,1000,0.05107394366197183,0.06786971830985915,0.6472711267605633,0.3016549295774648,0.7818685966726195,130.766,0.0,0.22469999999999998
edge,0.1,12,0.08809859154929578,0.22376760563380274,0.6118661971830985,0.30003521126760563,0.7425885891531159,128.614,0.0,0.26530000000000004
edge,0.1,25,0.08741197183098592,0.17526408450704223,0.5907922535211267,0.32179577464788733,0.7250437071153304,123.24799999999999,0.0,0.2861
