name,mean_abs_shap_s,group
DT:excess_int,335.14733914406094,DT context
h_centroid,320.90015432727637,horizontal
h_band0_1k,273.45749735915876,horizontal
v_crest,192.84958784979455,vertical
v_impulse,182.3750306046775,vertical
v_centroid,152.81848794008127,vertical
h_band1_2k,148.49491991271208,horizontal
v_band1_2k,136.73920546081195,vertical
h_kurt,135.78182280817336,horizontal
v_band6_8k,134.29993776873022,vertical
h_shape,132.16746204071526,horizontal
h_band6_8k,120.14157927038242,horizontal
v_band0_1k,110.27754407893144,vertical
v_skew,109.02545975328216,vertical
DT:hi_runmax,108.46151858718922,DT context
v_band4_6k,106.6652890772841,vertical
v_band2_4k,104.9482398462185,vertical
h_band8_12k,94.83563601737978,horizontal
DT:hi_fast,92.30543745551664,DT context
v_kurt,90.46144671354642,vertical
h_p2p,84.65138203130917,horizontal
v_rms,83.33814213532295,vertical
DT:hi_slow,81.24997938393669,DT context
v_shape,74.95646372894875,vertical
h_rms,73.47972711277393,horizontal
v_p2p,73.45300451026748,vertical
h_band4_6k,69.97289778262821,horizontal
v_band8_12k,51.63735233605787,vertical
h_skew,51.43476740321574,horizontal
h_impulse,48.529574134758555,horizontal
h_band2_4k,47.738150745013456,horizontal
h_crest,38.56063037576903,horizontal
DT:hi_trend,18.048048538306027,DT context
DT:hi_slope,16.84350690965358,DT context
