family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
HERA (decision-sufficiency),0.01,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710801393728222,0.17923580698300454,0.8805094620113303,1.0,1086.3768310546875
HERA (decision-sufficiency),0.02,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710801393728222,0.17923580698300454,0.8805094620113303,1.0,1086.3768310546875
HERA (decision-sufficiency),0.05,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710801393728222,0.17923580698300454,0.8805094620113303,1.0,1086.3768310546875
HERA (decision-sufficiency),0.1,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8709426004034476,0.17935634215918678,0.880388926835148,0.9994776809032102,1086.3616943359375
HERA (decision-sufficiency),0.15,0,0.08968177434908389,0.4059787849566056,0.29919310471300203,0.8423803410966441,0.20370444774800112,0.853107798625899,0.9430270400578569,1087.6890869140625
HERA (decision-sufficiency),0.2,0,0.10703953712632594,0.4059787849566056,0.29914725838987716,0.8202824133504493,0.22025794527703002,0.8302061151512716,0.8967817107959339,1089.262939453125
HERA (decision-sufficiency),0.3,0,0.11089681774349083,0.4059787849566056,0.29841371721987897,0.7814505776636713,0.25276226445417654,0.7944875246092651,0.8477238940897586,1088.4674072265625
HERA (decision-sufficiency),0.4,0,0.12729026036644167,0.4059787849566056,0.2960297084173849,0.7439024390243902,0.28185142030615934,0.7570814416007071,0.8035276628229339,1087.09619140625
HERA (decision-sufficiency),0.5,0,0.15139826422372227,0.4088717454194793,0.2925912341830185,0.6977810379607555,0.3180923299449556,0.7112378962593917,0.74972879585359,1086.646728515625
Width gate,0.02,0,0.0,0.49758919961427195,0.15482303319273794,0.9994039977993765,0.08505765599260717,0.9994776809032102,0.0,784.434326171875
Linear score gate,0.02,0,0.0,0.5043394406943105,0.15445626260773887,0.9994039977993765,0.08477640724818193,0.9994776809032102,0.020008839246253365,780.7575073242188
Anomaly trigger,0.02,0,0.0,0.49758919961427195,0.15441041628461397,0.9994039977993765,0.08477640724818193,0.9994776809032102,0.020008839246253365,783.9796142578125
Random gate,0.02,0,0.0,0.49951783992285437,0.15771135154960572,0.9971116816431322,0.08646389971473342,0.9973884045160513,0.020169552814496363,792.08935546875
Width gate,0.06,0,0.0,0.5525554484088717,0.12814047313405466,0.9989913808912525,0.08803085700510266,0.9991160753746635,0.060026517738760096,845.1720581054688
Linear score gate,0.06,0,0.0,0.5139826422372228,0.14702915826150742,0.9994039977993765,0.08541926152115392,0.9994776809032102,0.060026517738760096,770.6298828125
Anomaly trigger,0.06,0,0.0028929604628736743,0.49855351976856316,0.1650467632495874,0.9994039977993765,0.08027642733737796,0.9993169673349672,0.060026517738760096,775.5245971679688
Random gate,0.06,0,0.0028929604628736743,0.48987463837994216,0.16298367870896754,0.9917476618375206,0.09096387962553738,0.9924062839005183,0.05697295994214312,806.3519897460938
Width gate,0.1,0,0.0,0.5573770491803278,0.12442692096093894,0.9985329176600036,0.08839246253364941,0.998714291454056,0.10000401783920608,941.8680419921875
Linear score gate,0.1,0,0.0009643201542912247,0.5564127290260367,0.12855309004217863,0.9983495323675041,0.0883121057495279,0.9985133994937523,0.10000401783920608,806.3804321289062
Anomaly trigger,0.1,0,0.0028929604628736743,0.49951783992285437,0.18526499174766184,0.9993581514762516,0.07991482180883121,0.999196432158785,0.10000401783920608,796.5374145507812
Random gate,0.1,0,0.0028929604628736743,0.4927675988428158,0.17059416834769853,0.9862919493856592,0.09486118365543011,0.9873036281088031,0.10325846759612681,824.1516723632812
Width gate,0.13999999999999999,0,0.0,0.5583413693346191,0.12584815697781038,0.9980286081056299,0.08654425649885492,0.9982723291413877,0.1400216963317128,958.4644165039062
Linear score gate,0.13999999999999999,0,0.0009643201542912247,0.5573770491803278,0.1301577113515496,0.9981203007518797,0.0882317489654064,0.998232150749327,0.1400216963317128,905.7020263671875
Anomaly trigger,0.13999999999999999,0,0.006750241080038573,0.48987463837994216,0.20397029158261507,0.9987621492756281,0.07903089718349472,0.99839286431757,0.1400216963317128,854.2361450195312
Random gate,0.13999999999999999,0,0.010607521697203472,0.49373191899710706,0.1756372638914359,0.9816614707500458,0.09779420627586484,0.9828438265900599,0.1404234802523203,833.4691162109375
Width gate,0.18,0,0.0,0.5544840887174542,0.13043278929029892,0.9977535301668806,0.08493712081642493,0.9980312587890232,0.17999919643215878,961.2880249023438
Linear score gate,0.18,0,0.0019286403085824494,0.5448408871745419,0.1342380341096644,0.9977076838437557,0.0803166057294387,0.9977901884366588,0.17999919643215878,927.1983032226562
Anomaly trigger,0.18,0,0.008678881388621022,0.4725168756027001,0.20626260773885935,0.9985329176600036,0.07955321628028446,0.998071437181084,0.17999919643215878,941.022705078125
Random gate,0.18,0,0.006750241080038573,0.4840887174541948,0.18301852191454246,0.9777645332844306,0.10108883442484631,0.9794688416569569,0.17883402306239704,849.7205200195312
Width gate,0.22,0,0.0,0.549662487945998,0.1345589583715386,0.9977076838437557,0.08373176905460243,0.9979910803969625,0.2200168749246655,963.2658081054688
Linear score gate,0.22,0,0.003857280617164899,0.5400192864030858,0.15610673024023472,0.9973409132587566,0.0801558921611957,0.9973884045160513,0.2200168749246655,958.3290405273438
Anomaly trigger,0.22,0,0.010607521697203472,0.46962391513982643,0.19975242985512562,0.9982578397212544,0.07947285949616296,0.9977098316525372,0.2200168749246655,961.6400756835938
Random gate,0.22,0,0.011571841851494697,0.48601735776277727,0.18595268659453512,0.9716211259856959,0.10554863594358954,0.9736429748081482,0.2171642090883523,858.5888061523438
Width gate,0.26,0,0.0,0.5448408871745419,0.1433614524115166,0.9969741426737576,0.08377194744666318,0.9973482261239905,0.25999437502511147,972.0025634765625
Linear score gate,0.26,0,0.0057859209257473485,0.5371263259402121,0.17980927929580048,0.9971575279662571,0.08035678412149946,0.9971473341636867,0.25999437502511147,991.3756713867188
