policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing1_1,premature,7080.0,4762.5,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing2_1,premature,29160.0,4762.5,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.1,0,0,Bearing3_1,premature,151980.0,4762.5,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing1_1,premature,7080.0,4762.5,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing2_1,premature,29160.0,4762.5,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.15,0,0,Bearing3_1,premature,151980.0,4762.5,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing1_1,premature,6900.0,4200.0,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing2_1,premature,29160.0,4200.0,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.2,0,0,Bearing3_1,premature,151980.0,4200.0,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing1_1,timely,2460.0,3772.5,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing2_1,premature,29160.0,3772.5,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.25,0,0,Bearing3_1,premature,151980.0,3772.5,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing1_1,timely,2460.0,3772.5,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing2_1,premature,29160.0,3772.5,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.3,0,0,Bearing3_1,premature,151980.0,3772.5,0.9992119779353822,124.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing1_1,late,,2377.5,0.983739837398374,124.0,7320.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing2_1,late,780.0,2377.5,0.9959266802443992,124.0,29400.0
"HERA-v3 (onset-gated, CRC)",0.4,0,0,Bearing3_1,premature,7260.0,2377.5,0.9992119779353822,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing1_1,premature,6480.0,6000.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing2_1,premature,28560.0,6000.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,Bearing3_1,premature,151380.0,6000.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing1_1,premature,6480.0,6000.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing2_1,premature,28560.0,6000.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,Bearing3_1,premature,151380.0,6000.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing1_1,premature,6480.0,5145.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing2_1,premature,28560.0,5145.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,Bearing3_1,premature,151380.0,5145.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing1_1,timely,2580.0,4200.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing2_1,premature,28140.0,4200.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,Bearing3_1,premature,145920.0,4200.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing1_1,timely,2580.0,4200.0,0.9024390243902439,124.0,7320.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing2_1,premature,28140.0,4200.0,0.9755600814663951,124.0,29400.0
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,Bearing3_1,premature,145920.0,4200.0,0.9952718676122931,124.0,152220.0
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,0,Bearing1_1,late,,2377.5,0.9024390243902439,124.0,7320.0
