policy,eps,seed,fold,lambda,n_cal
"HERA-v3 (onset-gated, CRC)",0.1,0,0,4762.5,12
"HERA-v3 (onset-gated, CRC)",0.15,0,0,4762.5,12
"HERA-v3 (onset-gated, CRC)",0.2,0,0,4200.0,12
"HERA-v3 (onset-gated, CRC)",0.25,0,0,3772.5,12
"HERA-v3 (onset-gated, CRC)",0.3,0,0,3772.5,12
"HERA-v3 (onset-gated, CRC)",0.4,0,0,2377.5,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,6000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,6000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,5145.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,4200.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,4200.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,0,2377.5,12
"Always-cloud, CRC + burn-in",0.1,0,0,5145.0,12
"Always-cloud, CRC + burn-in",0.15,0,0,5145.0,12
"Always-cloud, CRC + burn-in",0.2,0,0,4200.0,12
"Always-cloud, CRC + burn-in",0.25,0,0,4132.5,12
"Always-cloud, CRC + burn-in",0.3,0,0,4132.5,12
"Always-cloud, CRC + burn-in",0.4,0,0,2377.5,12
"Always-cloud, CRC",0.1,0,0,4762.5,12
"Always-cloud, CRC",0.15,0,0,4762.5,12
"Always-cloud, CRC",0.2,0,0,4200.0,12
"Always-cloud, CRC",0.25,0,0,3772.5,12
"Always-cloud, CRC",0.3,0,0,3772.5,12
"Always-cloud, CRC",0.4,0,0,2377.5,12
"Always-edge, CRC",0.1,0,0,1545.0,12
"Always-edge, CRC",0.15,0,0,1545.0,12
"Always-edge, CRC",0.2,0,0,1522.5,12
"Always-edge, CRC",0.25,0,0,1275.0,12
"Always-edge, CRC",0.3,0,0,1275.0,12
"Always-edge, CRC",0.4,0,0,982.5,12
"Cloud point, fixed thr. H_p",,0,0,0.0,12
"Cloud point, fixed thr. H_c",,0,0,0.0,12
Anomaly threshold,,0,0,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,0,1,4582.5,12
"HERA-v3 (onset-gated, CRC)",0.15,0,1,4582.5,12
"HERA-v3 (onset-gated, CRC)",0.2,0,1,3952.5,12
"HERA-v3 (onset-gated, CRC)",0.25,0,1,3525.0,12
