policy,eps,late_rate_mean,premature_rate_mean,timely_rate_mean,n_bearings_mean,median_lead_min_mean,esc_frac_mean,bytes_mean,late_rate_std,premature_rate_std,timely_rate_std,n_bearings_std,median_lead_min_std,esc_frac_std,bytes_std
"Always-cloud, CRC",0.1,0.044444444444444446,0.7999999999999999,0.15555555555555556,15.0,158.0,1.0,112.0,0.03849001794597505,0.06666666666666672,0.03849001794597506,0.0,0.0,0.0,0.0
"Always-cloud, CRC",0.2,0.13333333333333333,0.6444444444444444,0.2222222222222222,15.0,157.33333333333334,1.0,112.0,0.0,0.10183501544346309,0.10183501544346309,0.0,1.1547005383792495,0.0,0.0
"Always-cloud, CRC + burn-in",0.1,0.022222222222222223,0.8444444444444444,0.13333333333333333,15.0,177.66666666666666,1.0,112.0,0.03849001794597505,0.03849001794597503,0.0,0.0,51.3841739578767,0.0,0.0
"Always-cloud, CRC + burn-in",0.2,0.20000000000000004,0.6222222222222222,0.17777777777777778,15.0,161.0,1.0,112.0,0.0,0.03849001794597505,0.038490017945975064,0.0,4.358898943540674,0.0,0.0
"Always-edge, CRC",0.1,0.0,0.8666666666666667,0.13333333333333333,15.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Always-edge, CRC",0.2,0.0,0.8444444444444444,0.15555555555555556,15.0,157.66666666666666,0.0,0.0,0.0,0.03849001794597503,0.03849001794597506,0.0,0.5773502691896216,0.0,0.0
Anomaly threshold,,0.6666666666666666,0.13333333333333333,0.20000000000000004,15.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cloud point, fixed thr. H_c",,0.7555555555555555,0.13333333333333333,0.11111111111111112,15.0,108.83333333333333,1.0,112.0,0.10183501544346316,0.0,0.10183501544346313,0.0,17.294025943467688,0.0,0.0
"Cloud point, fixed thr. H_p",,0.26666666666666666,0.39999999999999997,0.3333333333333333,15.0,114.0,1.0,112.0,0.13333333333333336,0.06666666666666667,0.06666666666666667,0.0,10.44030650891055,0.0,0.0
"HERA-v3 (onset-gated, CRC)",0.1,0.044444444444444446,0.7999999999999999,0.15555555555555556,15.0,156.0,0.9869462239337329,124.0,0.03849001794597505,0.06666666666666672,0.03849001794597506,0.0,0.0,0.0,0.0
"HERA-v3 (onset-gated, CRC)",0.2,0.15555555555555556,0.6444444444444444,0.19999999999999998,15.0,160.66666666666666,0.9869462239337329,124.0,0.038490017945975064,0.03849001794597505,0.06666666666666667,0.0,8.08290376865476,0.0,0.0
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0.022222222222222223,0.7777777777777778,0.20000000000000004,15.0,146.0,0.8876557113506763,120.60806293018682,0.03849001794597505,0.038490017945975105,0.0,0.0,0.0,0.0018759866301218547,0.21011050257365513
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0.17777777777777778,0.6444444444444444,0.17777777777777778,15.0,148.5,0.8876557113506763,120.60806293018682,0.03849001794597506,0.03849001794597503,0.0769800358919501,0.0,4.769696007084728,0.0018759866301218547,0.21011050257365513
