fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
0,TCN,25,128,0.0,0.1941888711831676,3026.416259765625,0.07926829268292683
0,TCN,25,128,0.2,0.19162865314117777,3045.915771484375,0.07317073170731707
2,TCN,25,128,0.0,0.09432030497996448,1760.5274658203125,0.23628691983122363
2,TCN,25,128,0.2,0.09123251663989869,1729.3426513671875,0.270042194092827
0,TCN,25,64,0.0,0.1786114344430133,2945.521728515625,0.11585365853658537
0,TCN,25,64,0.2,0.18232417872357295,3020.89501953125,0.10365853658536585
2,TCN,25,64,0.0,0.08491580811723459,1772.8194580078125,0.3206751054852321
2,TCN,25,64,0.2,0.07574133649835188,1743.853271484375,0.4472573839662447
0,LSTM,25,128,0.0,0.24704641882723907,3475.777099609375,0.018292682926829267
0,LSTM,25,128,0.2,0.21554449773355713,3266.417724609375,0.024390243902439025
0,GRU,25,128,0.0,0.20924097183879797,3147.1083984375,0.06707317073170732
0,GRU,25,128,0.2,0.22001555437237266,3236.84228515625,0.054878048780487805
0,CNN-LSTM,25,128,0.0,0.21109280135573408,3177.892578125,0.06097560975609756
0,CNN-LSTM,25,128,0.2,0.23283894923402043,3307.028076171875,0.012195121951219513
2,LSTM,25,128,0.0,0.18324988251748464,2790.0341796875,0.10548523206751055
2,LSTM,25,128,0.2,0.1703510760988532,2650.71923828125,0.12236286919831224
2,GRU,25,128,0.0,0.1719925180224259,2634.622314453125,0.046413502109704644
2,GRU,25,128,0.2,0.1639473092203905,2530.101806640625,0.02531645569620253
2,CNN-LSTM,25,128,0.0,0.17533425358444996,2707.74853515625,0.02109704641350211
2,CNN-LSTM,25,128,0.2,0.18359178278055538,2745.02734375,0.008438818565400843
0,TCN,8,128,0.0,0.17543781138331882,3136.70654296875,0.25
0,TCN,8,128,0.2,0.1767925649430845,3159.379638671875,0.2621951219512195
2,TCN,8,128,0.0,0.09630633832968026,1983.444580078125,0.48945147679324896
2,TCN,8,128,0.2,0.08687496217434018,1911.241455078125,0.5189873417721519
0,TCN,25,32,0.0,0.15240442185564254,2803.524658203125,0.2682926829268293
0,TCN,25,32,0.2,0.14868186319898058,2800.42138671875,0.2865853658536585
2,TCN,25,32,0.0,0.09290088180546895,1925.7886962890625,0.379746835443038
