policy,unsafe_rate_mean,missed_urgent_mean,false_urgent_mean,false_maint_mean,action_acc_mean,approval_load_mean,escalation_rate_mean,rmse_mean,mae_mean,bytes_per_snapshot_mean,latency_mean_ms_mean,kmacs_per_snapshot_mean,picp_mean,mpiw_mean,unsafe_rate_std,missed_urgent_std,false_urgent_std,false_maint_std,action_acc_std,approval_load_std,escalation_rate_std,rmse_std,mae_std,bytes_per_snapshot_std,latency_mean_ms_std,kmacs_per_snapshot_std,picp_std,mpiw_std
Always-edge,0.0,0.05925925925925926,0.4741665666146396,0.7705206707487894,0.2496021412037037,0.7914134837962963,0.0,1484.9458414713542,1051.646484375,0.0,0.06729149936290924,17.456,0.9891854745370371,4133.597493489583,0.0,0.06789001029564208,0.04013343100763541,0.0707605170904194,0.05998406129180923,0.06501235327689048,0.0,52.757485795324065,38.03598501323689,0.0,0.0,0.0,0.005569201065175906,112.46612984411506
Always-cloud,0.09206349206349207,0.23597883597883598,0.09653019570176491,0.6910793612678593,0.3138382523148148,0.7017505787037037,1.0,1421.166748046875,1075.4465738932292,112.0,50.6246455013752,382.24,0.9308449074074074,3029.6241861979165,0.01679842102263232,0.02113754958247425,0.0013636470994837918,0.06116694891681294,0.05391488676375856,0.057049927367274704,0.0,37.82935910061299,59.41679944592406,0.0,0.0,0.0,0.00967133135278865,19.743129981464186
Cloud point+threshold,0.34179894179894177,0.77989417989418,0.0280545883859607,0.08292312002241166,0.8595920138888888,0.1298828125,1.0,1689.0516764322917,1293.141845703125,112.0,50.6246455013752,382.24,,,0.09213644254408568,0.043101400750087365,0.003916931438945713,0.020968460709117554,0.019174745979206362,0.022197826558026393,0.0,115.05446435497396,158.98151465610178,0.0,0.0,0.0,,
HERA-full,0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5321167006843558,0.45750144675925924,0.5580873842592592,0.7914134837962963,1381.0135904947917,927.1625569661459,104.45023148148148,40.132318561558755,319.96589004629624,0.9297236689814815,2607.7015787760415,0.01679842102263232,0.02113754958247425,0.0019655067287483404,0.13268137382701317,0.11853435551831801,0.12185983655080242,0.06501235327689048,25.013845394820724,48.10724269890156,6.492999928584247,3.2912273378527517,24.850321916558606,0.008179389452643303,182.33128212686904
HERA w/o anomaly term,0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5321167006843558,0.45750144675925924,0.5580873842592592,0.7914134837962963,1381.0135904947917,927.1625569661459,104.45023148148148,40.132318561558755,319.96589004629624,0.9297236689814815,2607.7015787760415,0.01679842102263232,0.02113754958247425,0.0019655067287483404,0.13268137382701317,0.11853435551831801,0.12185983655080242,0.06501235327689048,25.013845394820724,48.10724269890156,6.492999928584247,3.2912273378527517,24.850321916558606,0.008179389452643303,182.33128212686904
HERA-no-DT,0.12063492063492065,0.2634920634920635,0.09709048705326769,0.2553727938528035,0.7035951967592592,0.30421730324074076,0.7914134837962963,1303.1275227864583,733.5213216145834,104.45023148148148,40.132318561558755,319.96589004629624,0.9362702546296297,2268.239501953125,0.04294523574117042,0.012698412698412723,0.012945788962928377,0.07721806733417123,0.07224006867058327,0.06775668628446468,0.06501235327689048,53.036017456268276,62.72214329223257,6.492999928584247,3.2912273378527517,24.850321916558606,0.00988386495020271,185.67691162691742
HERA-no-UQ,0.34179894179894177,0.77989417989418,0.027574338656101174,0.08000160083243286,0.8622323495370371,0.12724247685185186,0.6776982060185185,2061.851033528646,1714.7789306640625,91.04976851851852,34.37552293596834,276.4993622685185,,,0.09213644254408568,0.043101400750087365,0.003336641349036652,0.021989569164688128,0.02009703670848538,0.0231199587381308,0.008050259814025828,96.79594515478821,83.92860733407022,0.8454991823462972,0.4075415492790233,3.077131311313233,,
HERA-fixed (anomaly trigger),0.0,0.05925925925925926,0.47408652499299636,0.7705206707487894,0.2496021412037037,0.7914134837962963,0.054036458333333336,1541.4254150390625,1071.1240641276042,20.32465277777778,2.802868046637741,38.11089583333334,0.9730179398148149,4096.077473958333,0.0,0.06789001029564208,0.04017507388404616,0.0707605170904194,0.05998406129180923,0.06501235327689048,0.0,61.21623219411353,39.65797502373356,0.0,0.0,0.0,0.005163304215041837,111.8729656538884
Width gate (matched),0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5329171169007884,0.4567780671296296,0.558810763888889,0.7923900462962963,1381.15234375,927.7911987304688,104.46238425925925,40.18175669193119,320.33917129629634,0.9297236689814815,2607.9013671875,0.01679842102263232,0.02113754958247425,0.0019655067287483404,0.1328240729433759,0.11866365945439619,0.12199018396364046,0.06494939043200712,24.96817425904343,47.764846406353904,6.512033209799158,3.2880398661507777,24.826254998730416,0.008179389452643303,182.37068177938866
Linear score gate (matched),0.09206349206349207,0.23597883597883598,0.0959298835394405,0.5377596350102053,0.45265480324074076,0.5634403935185185,0.7793330439814815,1378.1046142578125,918.1483561197916,103.33217592592592,39.52075057843306,315.3482627314815,0.9298321759259259,2608.491943359375,0.01679842102263232,0.02113754958247425,0.0019655067287483404,0.1333575329405859,0.11880545871342756,0.12282326297039792,0.0667084186406418,25.97360714643191,52.648758762530164,6.775196318056949,3.377090045639818,25.49862594119891,0.008080914605848232,184.19688029183666
