policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse,mae,bytes_per_snapshot,latency_mean_ms,kmacs_per_snapshot,picp,mpiw,seed
Always-edge,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375,1058.11962890625,0.0,0.06729149936290924,17.456,0.9829644097222222,4054.02001953125,0
Always-cloud,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.6710289350462241,0.3312717013888889,0.6819661458333334,1.0,1462.017822265625,1143.4769287109375,112.0,50.6246455013752,382.24,0.9419487847222222,3048.819580078125,0
Cloud point+threshold,0.27936507936507937,0.8253968253968254,0.023772361628046586,0.09124744867331012,0.8513454861111112,0.13953993055555555,1.0,1662.695068359375,1319.8890380859375,112.0,50.6246455013752,382.24,,,0
HERA-full,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4541961820146476,0.5272352430555556,0.4860026041666667,0.7514105902777778,1409.3192138671875,948.8692626953125,98.28472222222223,38.10718625815449,304.67518402777773,0.9391276041666666,2479.939208984375,0
HERA w/o anomaly term,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4541961820146476,0.5272352430555556,0.4860026041666667,0.7514105902777778,1409.3192138671875,948.8692626953125,98.28472222222223,38.10718625815449,304.67518402777773,0.9391276041666666,2479.939208984375,0
HERA-no-DT,0.1619047619047619,0.2761904761904762,0.08476407732020651,0.25345179493336534,0.7059461805555556,0.2999131944444444,0.7514105902777778,1343.5516357421875,775.5454711914062,98.28472222222223,38.10718625815449,304.67518402777773,0.9409722222222222,2133.02734375,0
HERA-no-UQ,0.27936507936507937,0.8253968253968254,0.023772361628046586,0.0887261375915476,0.8536241319444444,0.1372612847222222,0.6764322916666666,2123.85888671875,1796.2799072265625,90.56770833333333,34.31143647067074,276.0154791666667,,,0
HERA-fixed (anomaly trigger),0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.054036458333333336,1583.1505126953125,1082.4774169921875,20.32465277777778,2.802868046637741,38.11089583333334,0.9673394097222222,4023.76953125,0
Width gate (matched),0.10476190476190476,0.2126984126984127,0.09544963380958098,0.45455636931204224,0.5269097222222222,0.486328125,0.7517361111111112,1409.4114990234375,949.16015625,98.28472222222223,38.123665634945304,304.7996111111111,0.9391276041666666,2480.123291015625,0
Linear score gate (matched),0.10476190476190476,0.2126984126984127,0.09544963380958098,0.456837555528875,0.5249565972222222,0.4884982638888889,0.7425130208333334,1407.212890625,942.664794921875,97.640625,37.65674995920563,301.2741770833333,0.9391276041666666,2480.90673828125,0
Random gate (matched),0.07936507936507936,0.2,0.20974906951614838,0.6896386120782807,0.3157552083333333,0.7037760416666666,0.7298177083333334,1481.1893310546875,1124.138427734375,123.93923611111111,37.01405426436395,296.4215208333333,0.9526909722222222,3326.3505859375,0
Always-edge,0.0,0.044444444444444446,0.46031936607035656,0.7314203385760596,0.2841796875,0.7564019097222222,0.0,1519.0391845703125,1086.030517578125,0.0,0.06729149936290924,17.456,0.9908854166666666,4084.5087890625,1
Always-cloud,0.07301587301587302,0.25396825396825395,0.09592988353944051,0.6424540761195822,0.3568793402777778,0.6572265625,1.0,1414.13720703125,1049.12939453125,112.0,50.6246455013752,382.24,0.9263237847222222,3009.37548828125,1
Cloud point+threshold,0.44761904761904764,0.7396825396825397,0.031456357305799015,0.05907071677272181,0.8815104166666666,0.1044921875,1.0,1589.46240234375,1122.4832763671875,112.0,50.6246455013752,382.24,,,1
HERA-full,0.07301587301587302,0.25396825396825395,0.09424900948493216,0.456837555528875,0.5246310763888888,0.4894748263888889,0.7564019097222222,1361.8822021484375,872.0269165039062,103.83854166666667,38.35987003561362,306.58306597222224,0.92578125,2526.6611328125,1
HERA w/o anomaly term,0.07301587301587302,0.25396825396825395,0.09424900948493216,0.456837555528875,0.5246310763888888,0.4894748263888889,0.7564019097222222,1361.8822021484375,872.0269165039062,103.83854166666667,38.35987003561362,306.58306597222224,0.92578125,2526.6611328125,1
HERA-no-DT,0.0761904761904762,0.2634920634920635,0.09592988353944051,0.17913314923760357,0.7746310763888888,0.2387152777777778,0.7564019097222222,1243.0753173828125,661.425537109375,103.83854166666667,38.35987003561362,306.58306597222224,0.9429253472222222,2191.747802734375,1
HERA-no-UQ,0.44761904761904764,0.7396825396825397,0.030015608116220435,0.05498859406891583,0.8851996527777778,0.1008029513888889,0.6703559027777778,2111.381103515625,1719.43994140625,90.55555555555556,34.003821437242244,273.69284027777775,,,1
HERA-fixed (anomaly trigger),0.0,0.044444444444444446,0.4600792412054268,0.7314203385760596,0.2841796875,0.7564019097222222,0.054036458333333336,1569.976318359375,1103.8671875,20.32465277777778,2.802868046637741,38.11089583333334,0.9742838541666666,4039.5263671875,1
Width gate (matched),0.07301587301587302,0.25396825396825395,0.09424900948493216,0.4579181174210589,0.5236545138888888,0.4904513888888889,0.7581380208333334,1362.0755615234375,873.0725708007812,103.83854166666667,38.447760045164614,307.24667708333334,0.92578125,2526.82958984375,1
