bearing,required_offset_s,r_max,required_offset_frac
Bearing1_1,3142.5,6000.0,0.52375
Bearing1_2,465.0,6000.0,0.0775
Bearing1_3,-165.0,6000.0,-0.0275
Bearing1_4,1657.5,6000.0,0.27625
Bearing1_5,3502.5,6000.0,0.58375
Bearing2_1,2625.0,6000.0,0.4375
Bearing2_2,-907.5,6000.0,-0.15125
Bearing2_3,-615.0,6000.0,-0.1025
Bearing2_4,4447.5,6000.0,0.74125
Bearing2_5,-727.5,6000.0,-0.12125
Bearing3_1,1140.0,6000.0,0.19
Bearing3_2,2400.0,6000.0,0.4
Bearing3_3,2017.5,6000.0,0.33625
Bearing3_4,487.5,6000.0,0.08125
Bearing3_5,1230.0,6000.0,0.205
