model,calib,rmse_mean,mae_mean,rmse_deg_mean,raw_picp_mean,picp_mean,mpiw_mean,nmpiw_mean,interval_score_mean,lower_miss_crit_mean,cce_mean,picp_bearing_min_mean,n_bearing_cov_below_mean,picp_asym_mean,mpiw_asym_mean,nmpiw_asym_mean,interval_score_asym_mean,lower_miss_crit_asym_mean,cce_asym_mean,picp_bearing_min_asym_mean,n_bearing_cov_below_asym_mean,rmse_std,mae_std,rmse_deg_std,raw_picp_std,picp_std,mpiw_std,nmpiw_std,interval_score_std,lower_miss_crit_std,cce_std,picp_bearing_min_std,n_bearing_cov_below_std,picp_asym_std,mpiw_asym_std,nmpiw_asym_std,interval_score_asym_std,lower_miss_crit_asym_std,cce_asym_std,picp_bearing_min_asym_std,n_bearing_cov_below_asym_std
Edge-CNN,split,2278.4080810546875,1859.4672444661458,2185.9322509765625,0.654296875,0.9654586226851851,3716.1519368489585,0.6193586389223734,4194.228922526042,0.21798941798941798,0.19841941550925923,0.6349206349206349,5.0,0.9086733217592592,3462.6859537760415,0.5771143237749735,4713.740478515625,0.308994708994709,0.04602502893518518,0.42166979362101314,8.333333333333334,388.6037077308368,330.3571446991318,151.9562062656165,0.07321187966033192,0.004891645816570258,501.69435178003556,0.08361572519392765,461.1316126429389,0.0678157459048132,0.02114595552949816,0.0549857399228215,0.0,0.013066567060110654,360.9566791839091,0.060159425208979316,701.2603794801481,0.10239428156536531,0.007051368790568678,0.0823955437038447,1.1547005383792517
Edge-GRU,split,2531.0105794270835,2004.1784261067708,2125.8247884114585,0.8520326967592592,0.8651982060185186,4184.362467447917,0.6973937551180521,6373.619140625,0.326984126984127,0.08368055555555554,0.3717948717948718,9.666666666666666,0.8539134837962963,3298.4156087239585,0.549735943476359,6094.777506510417,0.51005291005291,0.09066623263888889,0.3461538461538461,10.0,641.6646560900996,601.1832983427576,51.80477257402645,0.12277599522015999,0.07850305582269902,502.76435920660396,0.08379406528938436,1796.1348277217417,0.06962448317289303,0.05780396116812554,0.136434593934569,1.5275252316519468,0.07470798340484638,679.1454055110747,0.11319091409330123,1872.5154603025342,0.04310140075008743,0.03440737127216935,0.17625291134445537,1.0
LSTM+DT,split,1698.2826741536458,1129.9205322265625,2612.834716796875,0.8861400462962963,0.8780743634259259,3106.8374837239585,0.5178062518437704,6135.319173177083,0.5396825396825397,0.0970457175925926,0.0,11.333333333333334,0.8622323495370371,2636.8199869791665,0.43946999311447144,6313.065266927083,0.46455026455026455,0.11098307291666669,0.0,10.333333333333334,57.66126412842873,68.16633903188642,35.30413967263826,0.015683038868871523,0.025046151344170813,295.90185567303746,0.04931698691607029,543.2802189422674,0.08849117374454829,0.04968029270978066,0.0,0.5773502691896257,0.02712767648833007,49.824106339273385,0.008304015994169741,619.2059007883554,0.062236258000138045,0.04099558082158138,0.0,1.5275252316519468
LSTM,split,1515.8388671875,886.0509847005209,2617.1048177083335,0.8990523726851851,0.9067925347222223,2435.957275390625,0.40599287549654645,5216.4609375,0.5439153439153439,0.1541080729166667,0.0,10.333333333333334,0.8765552662037036,2510.82177734375,0.4184702932834625,5599.524739583333,0.45925925925925926,0.10665726273148148,0.006410256410256411,10.0,127.3288144470271,103.92124174730753,25.46917703695687,0.016373166998224963,0.007067959459412466,149.66749760512397,0.024944576321842164,276.5541959030966,0.03827119856089977,0.011591968475791662,0.0,1.1547005383792517,0.0009228407712798604,174.6730584243472,0.02911217393181352,340.07783649600896,0.07393032158606799,0.024903689609499815,0.011102889792108188,1.0
GRU+DT,split,1646.5386962890625,1225.8316650390625,2545.6041666666665,0.858181423611111,0.8293909143518517,3042.43701171875,0.5070728460947672,5804.50634765625,0.48148148148148145,0.05592013888888888,0.10897435897435898,9.666666666666666,0.8064959490740741,2774.9424641927085,0.46249040961265564,5962.1982421875,0.4687830687830688,0.09720775462962962,0.032051282051282055,9.333333333333334,93.71016705233258,152.84800248990467,173.97353874454546,0.07848188102641399,0.06401912787389409,205.02206715406135,0.03417035949916137,437.93383064409585,0.049825428008438345,0.028265177546102926,0.09868464306628624,0.5773502691896257,0.08143952795600178,266.57968104295367,0.04442993958735401,683.7584008595171,0.04537943204738955,0.01344109089211725,0.05551444896054094,1.5275252316519468
GRU,split,1515.697021484375,1027.2450764973958,2534.072265625,0.8901548032407408,0.8903356481481483,2403.7786865234375,0.40062978863716125,5009.422688802083,0.47830687830687824,0.11737268518518519,0.0,9.333333333333334,0.859592013888889,2747.5337727864585,0.4579222897688548,5145.020345052083,0.38518518518518524,0.07088903356481481,0.05128205128205129,9.666666666666666,38.74984856795132,72.92877403856787,45.86357783956031,0.029814212319986766,0.016380356305392585,511.38948114782033,0.0852315841599997,502.21506217287896,0.08981004187394176,0.04636783786335968,0.0,1.1547005383792517,0.04397905726007337,304.94658825622724,0.050824435584995595,230.44406143540166,0.05873730830212877,0.047888529224885804,0.0888231183368655,0.5773502691896257
TCN+DT,split,1496.3226725260417,1100.1431070963542,2437.2076009114585,0.6234447337962964,0.8115234375,3476.6051432291665,0.5794341961542765,6027.977213541667,0.32275132275132273,0.10723741319444445,0.07936507936507936,9.0,0.789279513888889,2728.5833333333335,0.45476388931274414,6172.841634114583,0.37142857142857144,0.07196903935185185,0.18860427872647834,9.333333333333334,117.71135896976635,138.4622009640994,109.63498652542195,0.02198232151249763,0.10744593015947791,179.39253279208097,0.029898743238507015,988.5420953131182,0.04859666668023294,0.05386620462497119,0.09912695235553012,1.7320508075688772,0.08770281449049487,288.6367259937826,0.04810611521729827,1097.387237667257,0.05340509155955785,0.040745811422996304,0.03260353816550034,1.1547005383792517
TCN,split,1666.1625569661458,1302.840087890625,2466.5497233072915,0.5176866319444445,0.9474826388888888,3690.9693196614585,0.6151615579922994,5109.08642578125,0.27724867724867724,0.18037471064814817,0.21672771672771673,6.666666666666667,0.9074074074074074,3309.3235677083335,0.5515539149443308,5229.79638671875,0.2751322751322751,0.09053964120370368,0.3724053724053724,8.666666666666666,118.959780041035,145.14379119520117,24.32178079470125,0.10890573418862651,0.012040360038252264,543.7163665759331,0.09061941057328558,737.2463910728234,0.041432321588257985,0.009010496199745562,0.08467271525072434,0.5773502691896258,0.004169171369330476,489.16474862261504,0.08152745592009804,535.5193791210992,0.0162907982204663,0.04799262473334871,0.07354188775495976,0.5773502691896257
CNN-LSTM+DT,split,1446.4130859375,894.7251790364584,2719.27734375,0.8445457175925926,0.9056351273148149,2685.578369140625,0.44759639104207355,5707.781412760417,0.4846560846560846,0.1397721354166667,0.11304684475416182,10.666666666666666,0.9002821180555557,2341.7685546875,0.39029476046562195,5509.81787109375,0.42328042328042326,0.08328052662037037,0.20382530748384406,8.333333333333334,30.15005962820032,32.52048999726742,48.80345997152831,0.051821164228679155,0.0020164004433979353,85.96467014513104,0.014327443966093197,143.4032411792381,0.027370406680164137,0.012808218737215321,0.12292259194308466,0.5773502691896257,0.008422403806564713,44.65656261254586,0.007442760446600405,112.69071127240123,0.06430694012376083,0.04758846625155574,0.14322255949765075,1.1547005383792517
CNN-LSTM,split,1335.4813232421875,772.0576171875,2504.4153645833335,0.8475115740740741,0.9008246527777777,2416.3731282552085,0.4027288556098938,5407.40283203125,0.5216931216931217,0.1554984085648148,0.0,9.333333333333334,0.8818359375,2298.690185546875,0.3831150233745575,5403.918619791667,0.4201058201058201,0.07958912037037036,0.05128205128205129,10.0,2.801528969184815,20.75233232649865,34.72604653139991,0.02346419291339226,0.010822445867874727,93.25075915309263,0.015541787652556618,201.36965429739436,0.060595294400932954,0.005816434707936567,0.0,0.5773502691896257,0.011450953306487778,85.36081796460284,0.014226805876961048,73.85936546177672,0.04982542800843831,0.05034226514399924,0.0888231183368655,0.0
