family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
HERA (decision-sufficiency),0.02,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4921359106735502,0.4929470486111111,0.5202907986111112,0.8146701388888888,1418.420166015625
HERA (decision-sufficiency),0.05,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.46176011525993516,0.5203993055555556,0.4928385416666667,0.7626953125,1411.29638671875
HERA (decision-sufficiency),0.1,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4541961820146476,0.5272352430555556,0.4860026041666667,0.7514105902777778,1409.3192138671875
HERA (decision-sufficiency),0.15,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4502341217433065,0.5308159722222222,0.482421875,0.7467447916666666,1408.323974609375
HERA (decision-sufficiency),0.2,0,0.10476190476190476,0.2126984126984127,0.09508944651218634,0.4437507503902029,0.5366753472222222,0.4765625,0.7394748263888888,1405.387939453125
HERA (decision-sufficiency),0.3,0,0.10476190476190476,0.2126984126984127,0.09340857245767799,0.42430063633089204,0.5542534722222222,0.458984375,0.7073567708333334,1394.5008544921875
HERA (decision-sufficiency),0.4,0,0.10476190476190476,0.2126984126984127,0.09328851002521311,0.385760595509665,0.5882161458333334,0.4232855902777778,0.6547309027777778,1383.681396484375
HERA (decision-sufficiency),0.5,0,0.12380952380952381,0.2126984126984127,0.09316844759274823,0.2673790370992916,0.6934678819444444,0.3139105902777778,0.4780815972222222,1353.975341796875
Width gate,0.02,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.02,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.020073784722222224,1550.0338134765625
Anomaly trigger,0.02,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.020073784722222224,1554.9365234375
Random gate,0.02,0,0.0031746031746031746,0.13333333333333333,0.5088245887861688,0.723856405330772,0.2880859375,0.7473958333333334,0.020724826388888888,1509.69580078125
Width gate,0.06,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.06,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.060004340277777776,1586.0096435546875
Anomaly trigger,0.06,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.060004340277777776,1568.852783203125
Random gate,0.06,0,0.012698412698412698,0.13333333333333333,0.49885940689158365,0.7275783407371833,0.2841796875,0.7493489583333334,0.059027777777777776,1509.637939453125
Width gate,0.1,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.1,0,0.0,0.15873015873015872,0.5150678352743426,0.7279385280345779,0.2839626736111111,0.7514105902777778,0.10004340277777778,1580.8148193359375
Anomaly trigger,0.1,0,0.0,0.15873015873015872,0.5169888341937807,0.7279385280345779,0.2849392361111111,0.7514105902777778,0.10004340277777778,1604.099609375
Random gate,0.1,0,0.009523809523809525,0.1365079365079365,0.4783287309400888,0.7231360307359828,0.2890625,0.7457682291666666,0.10416666666666667,1504.888916015625
Width gate,0.13999999999999999,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.13999999999999999,0,0.0,0.1619047619047619,0.5006603433785568,0.7272181534397887,0.2853732638888889,0.7504340277777778,0.1400824652777778,1526.6136474609375
Anomaly trigger,0.13999999999999999,0,0.0,0.1619047619047619,0.519750270140473,0.7310601512786649,0.2821180555555556,0.7542317708333334,0.1400824652777778,1616.3712158203125
Random gate,0.13999999999999999,0,0.0031746031746031746,0.13968253968253969,0.46139992796254053,0.7233761556009125,0.2881944444444444,0.74609375,0.14073350694444445,1500.815673828125
Width gate,0.18,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.18,0,0.0031746031746031746,0.17142857142857143,0.47304598391163405,0.7149717853283708,0.296875,0.7367621527777778,0.18001302083333334,1464.8961181640625
Anomaly trigger,0.18,0,0.0031746031746031746,0.16507936507936508,0.5047424660823628,0.7244567174930964,0.287109375,0.7472873263888888,0.18001302083333334,1626.0008544921875
Random gate,0.18,0,0.015873015873015872,0.14285714285714285,0.44170968903829994,0.7221755312762637,0.2890625,0.7435980902777778,0.17957899305555555,1495.1029052734375
Width gate,0.22,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.22,0,0.012698412698412698,0.18412698412698414,0.4425501260655541,0.6949213591067355,0.3146701388888889,0.7170138888888888,0.22005208333333334,1428.9342041015625
Anomaly trigger,0.22,0,0.0031746031746031746,0.16507936507936508,0.47916916796734305,0.7113699123544243,0.2990451388888889,0.7354600694444444,0.22005208333333334,1632.649658203125
Random gate,0.22,0,0.022222222222222223,0.1492063492063492,0.42682194741265456,0.7166526593828791,0.2940538194444444,0.7374131944444444,0.2261284722222222,1502.7811279296875
Width gate,0.26,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.26,0,0.025396825396825397,0.19682539682539682,0.40725177092087883,0.6688678112618561,0.337890625,0.6921657986111112,0.2599826388888889,1397.4144287109375
Anomaly trigger,0.26,0,0.0031746031746031746,0.16825396825396827,0.4581582422859887,0.7026053547844879,0.306640625,0.7273220486111112,0.2599826388888889,1638.2244873046875
Random gate,0.26,0,0.012698412698412698,0.1492063492063492,0.41193420578700923,0.7144915355985112,0.2962239583333333,0.7358940972222222,0.2559678819444444,1505.6610107421875
Width gate,0.30000000000000004,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
Linear score gate,0.30000000000000004,0,0.02857142857142857,0.2,0.3688317925321167,0.6407732020650738,0.3631727430555556,0.6664496527777778,0.3000217013888889,1371.3612060546875
Anomaly trigger,0.30000000000000004,0,0.0031746031746031746,0.16825396825396827,0.44531156201224636,0.7183335334373875,0.2923177083333333,0.7413194444444444,0.3000217013888889,1644.607421875
Random gate,0.30000000000000004,0,0.0380952380952381,0.1523809523809524,0.3963260895665746,0.7170128466802738,0.2927517361111111,0.7348090277777778,0.3092447916666667,1502.669189453125
Width gate,0.34,0,0.031746031746031744,0.20317460317460317,0.2933125225117061,0.6005522871893385,0.4001736111111111,0.6302083333333334,0.3400607638888889,1371.972900390625
Linear score gate,0.34,0,0.031746031746031744,0.20634920634920634,0.3274102533317325,0.6145995917877296,0.3866102430555556,0.6422526041666666,0.3400607638888889,1358.7249755859375
Anomaly trigger,0.34,0,0.0031746031746031746,0.16825396825396827,0.4291031336294873,0.7385040220914876,0.2738715277777778,0.7593315972222222,0.3400607638888889,1651.5174560546875
Random gate,0.34,0,0.015873015873015872,0.15555555555555556,0.3793972865890263,0.7161724096530195,0.2935112847222222,0.7349175347222222,0.3346354166666667,1497.3128662109375
Width gate,0.38,0,0.0380952380952381,0.20952380952380953,0.25369191979829514,0.5859046704286229,0.4135199652777778,0.6166449652777778,0.3799913194444444,1371.1043701171875
Linear score gate,0.38,0,0.03492063492063492,0.20952380952380953,0.28682915115860247,0.5926281666466563,0.4067925347222222,0.6221788194444444,0.3799913194444444,1356.4156494140625
Anomaly trigger,0.38,0,0.0031746031746031746,0.16825396825396827,0.40533077200144074,0.7481090166886781,0.2650824652777778,0.7679036458333334,0.3799913194444444,1658.3408203125
Random gate,0.38,0,0.03492063492063492,0.1619047619047619,0.35718573658302316,0.6992436066754713,0.3083767361111111,0.7191840277777778,0.3836805555555556,1482.657958984375
Width gate,0.42000000000000004,0,0.0380952380952381,0.2126984126984127,0.2143114419498139,0.5737783647496698,0.4245876736111111,0.6055772569444444,0.4200303819444444,1370.061279296875
Linear score gate,0.42000000000000004,0,0.0380952380952381,0.2126984126984127,0.24636811141793732,0.5773802377236162,0.4210069444444444,0.6076388888888888,0.4200303819444444,1363.577880859375
Anomaly trigger,0.42000000000000004,0,0.0031746031746031746,0.16825396825396827,0.38119822307599954,0.7494297034457919,0.2649739583333333,0.7688802083333334,0.4200303819444444,1661.5904541015625
Random gate,0.42000000000000004,0,0.0380952380952381,0.16825396825396827,0.33761556009124744,0.701524792892304,0.3065321180555556,0.720703125,0.4275173611111111,1484.991455078125
Width gate,0.46,0,0.0380952380952381,0.2126984126984127,0.17625165085844638,0.5618921839356465,0.4365234375,0.5944010416666666,0.4599609375,1371.4278564453125
Linear score gate,0.46,0,0.0380952380952381,0.2126984126984127,0.205066634650018,0.5662144315043823,0.4317491319444444,0.5974392361111112,0.4599609375,1368.8865966796875
Anomaly trigger,0.46,0,0.0031746031746031746,0.16825396825396827,0.35670548685316367,0.7473886420938888,0.2669270833333333,0.7666015625,0.4599609375,1663.4688720703125
Random gate,0.46,0,0.047619047619047616,0.17777777777777778,0.32909112738624086,0.7116100372193541,0.2973090277777778,0.7288411458333334,0.4581163194444444,1491.7447509765625
Width gate,0.5,0,0.0380952380952381,0.2126984126984127,0.13651098571257053,0.5518069396085965,0.4463975694444444,0.5851779513888888,0.5,1374.2884521484375
Linear score gate,0.5,0,0.04126984126984127,0.2126984126984127,0.164485532476888,0.5598511225837436,0.4379340277777778,0.5912543402777778,0.5,1376.142578125
Anomaly trigger,0.5,0,0.0031746031746031746,0.17142857142857143,0.3300516268459599,0.7412654580381799,0.2722439236111111,0.7608506944444444,0.5,1664.0328369140625
Random gate,0.5,0,0.044444444444444446,0.16507936507936508,0.30027614359466925,0.6968423580261736,0.3109809027777778,0.7147352430555556,0.4985894097222222,1480.876953125
Width gate,0.54,0,0.0380952380952381,0.2126984126984127,0.0972505702965542,0.5406411333893625,0.4571397569444444,0.57421875,0.5400390625,1379.4921875
Linear score gate,0.54,0,0.05714285714285714,0.2126984126984127,0.12594549165566093,0.5531276263657102,0.4442274305555556,0.5840928819444444,0.5400390625,1384.9261474609375
Anomaly trigger,0.54,0,0.0031746031746031746,0.17142857142857143,0.3044783287309401,0.724936967222956,0.2863498263888889,0.7454427083333334,0.5400390625,1661.4794921875
Random gate,0.54,0,0.050793650793650794,0.17777777777777778,0.28574858926641855,0.701524792892304,0.3064236111111111,0.7182074652777778,0.5444878472222222,1469.32080078125
Width gate,0.5800000000000001,0,0.044444444444444446,0.2126984126984127,0.09160763597070477,0.526833953655901,0.4690755208333333,0.5610894097222222,0.5799696180555556,1384.8040771484375
Linear score gate,0.5800000000000001,0,0.06984126984126984,0.2126984126984127,0.10241325489254412,0.5348781366310481,0.4608289930555556,0.5666232638888888,0.5799696180555556,1388.4495849609375
Anomaly trigger,0.5800000000000001,0,0.02857142857142857,0.17142857142857143,0.28250690358986674,0.716772721815344,0.2934027777777778,0.7368706597222222,0.5799696180555556,1657.4888916015625
Random gate,0.5800000000000001,0,0.05396825396825397,0.18412698412698414,0.27302197142514106,0.7030856045143474,0.3034939236111111,0.7180989583333334,0.5806206597222222,1489.08837890625
